,Annualized Return (arith. compounding),Annualized Return (geometric avg),Annualized Volatility,Sharpe Ratio,Min Monthly Return,Max Monthly Return,Cumulative Return
Minimum Variance,0.0865995899070395,7.95%,11.55%,0.6149,-12.43%,9.83%,150.31%
Value Weighted,0.0759206435145802,6.71%,12.91%,0.4715,-10.76%,13.07%,117.96%
