,P_mv_oos,P_mv_oos(0.5),P_vw_oos,P_vw_oos(0.5),P_vw_oos(NZ)
Annualized Return,0.07647769141157124,0.08503671244525135,0.07592064351458028,0.07585746811756766,0.07585746811756766
Annualized Volatility,0.11933664219899355,0.12001530294054956,0.12914071417053138,0.13323633346220834,0.13323633346220834
Sharpe Ratio,0.6408567394082102,0.7085489130279903,0.5878908445118743,0.5693452089709761,0.5693452089709761
Min Monthly Return,-0.1260560062858658,-0.14519003063130143,-0.1075897946467893,-0.1248479368358004,-0.1248479368358004
Max Monthly Return,0.098436470869745,0.11079251979456087,0.130681155663674,0.13624077892449185,0.13624077892449185
Cumulative Return,1.2248071364989679,1.4441716185723066,1.1795849585808051,1.1641493857243606,1.1641493857243606
