,Return
2014-01-31,-0.03810923221663312
2014-02-28,0.02916679456293727
2014-03-31,0.008429842048024768
2014-04-30,-0.0033660200058865147
2014-05-30,0.027511726174207822
2014-06-30,0.03161384350108348
2014-07-31,0.018608874921345248
2014-08-29,-0.009259809780961041
2014-09-30,-0.04251738718083561
2014-10-31,0.004508737871430576
2014-11-28,-0.01905880899621268
2014-12-31,-0.013448496837969432
2015-01-30,0.010248579018089794
2015-02-27,0.05509808264850116
2015-03-31,0.0041327155565011
2015-04-30,0.03737938037683821
2015-05-29,0.003898551041798846
2015-06-30,-0.028412896559425388
2015-07-31,-0.004446879606573905
2015-08-31,-0.0804039624767342
2015-09-30,-0.0556447248303901
2015-10-30,0.09365375314359412
2015-11-30,-0.005749004121678305
2015-12-31,0.008858175751813293
2016-01-29,-0.08472316697410529
2016-02-29,-0.01815180024233724
2016-03-31,0.07790534350276605
2016-04-29,0.03389636755016304
2016-05-31,-0.016490261919543073
2016-06-30,-0.01173336696080702
2016-07-29,0.07214645658581659
2016-08-31,0.0059173364591957305
2016-09-30,0.018634052748734732
2016-10-31,0.007623874516317168
2016-11-30,-0.013117755892226494
2016-12-30,0.008073530002176973
2017-01-31,0.03567578845775982
2017-02-28,0.024972956761717496
2017-03-31,0.00901649300935335
2017-04-28,0.007983593243517106
2017-05-31,0.01427761984329201
2017-06-30,0.011173884575799523
2017-07-31,0.027269837832242235
2017-08-31,0.003498921497392577
2017-09-29,0.011515118360723785
2017-10-31,0.02729335025816959
2017-11-30,0.02355466615821173
2017-12-29,0.012990084225250657
2018-01-31,0.04526609030987383
2018-02-28,-0.021310435088872016
2018-03-30,-0.029791279558451966
2018-04-30,0.008687786183557913
2018-05-31,-0.013280898344563667
2018-06-29,-0.018534017029663716
2018-07-31,0.014378744813307674
2018-08-31,-0.007227711641258337
2018-09-28,0.0217660197073292
2018-10-31,-0.08547677530292587
2018-11-30,0.007618836504732145
2018-12-31,-0.05493696727583253
2019-01-31,0.07136115403323012
2019-02-28,0.011739797921990288
2019-03-29,0.008069795245603802
2019-04-30,0.01885955880324196
2019-05-31,-0.04030152687810644
2019-06-28,0.041668154503998786
2019-07-31,-0.0022273476488651866
2019-08-30,-0.02228271219399033
2019-09-30,0.033793766641380056
2019-10-31,0.04357532538857185
2019-11-29,-0.0021680365843943033
2019-12-31,0.025572260112886908
2020-01-31,-0.020130584326041152
2020-02-28,-0.08808443218015335
2020-03-31,-0.1248479368358004
2020-04-30,0.06622353973239586
2020-05-29,0.024522769766986634
2020-06-30,0.019894964918018575
2020-07-31,-0.012838599420844072
2020-08-31,0.06790865256327666
2020-09-30,-0.01921080093097044
2020-10-30,-0.01618341068719458
2020-11-30,0.13624077892449185
2020-12-31,0.04158182162867936
2021-01-29,0.005442843984012079
2021-02-26,0.03075097271067093
2021-03-31,0.016420611043044164
2021-04-30,0.0005177767824840926
2021-05-31,0.02321735796623682
2021-06-30,-0.010727764186560624
2021-07-30,-0.0241785700097226
2021-08-31,0.027092053945246934
2021-09-30,0.014039675998913152
2021-10-29,-0.008738226668277801
2021-11-30,-0.03848651510199141
2021-12-31,0.024695222975773232
2022-01-31,-0.03580842671703123
2022-02-28,0.005116405324960259
2022-03-31,0.006539532731143553
2022-04-29,-0.057931220945136176
2022-05-31,0.0034182294904585896
2022-06-30,-0.061097089555623624
2022-07-29,0.043065196075398104
2022-08-31,-0.021035470544385926
2022-09-30,-0.0922966832409367
2022-10-31,0.0064754831595367005
2022-11-30,0.1047655872840441
2022-12-30,0.01412841674522025
2023-01-31,0.06827524336199087
2023-02-28,-0.0467468084740272
2023-03-31,0.01648159340398866
2023-04-28,0.006770683567083486
2023-05-31,-0.005892200216344154
2023-06-30,0.03592441157091153
2023-07-31,0.038265787151247364
2023-08-31,-0.03765663782497757
2023-09-29,-0.019791461040738707
2023-10-31,-0.052034092294708754
2023-11-30,0.06965207204418433
2023-12-29,0.04646761183884503
2024-01-31,0.00712768490517369
2024-02-29,0.02371083474549544
2024-03-29,0.028113507603711767
2024-04-30,-0.030038507829630388
2024-05-31,0.021577551708188706
2024-06-28,-0.0049700795686435685
2024-07-31,0.05597795176913807
2024-08-30,0.016085191945809683
2024-09-30,0.036511654666510775
2024-10-31,-0.040786556248314156
2024-11-29,0.01495878864777314
2024-12-31,-0.01640641222452973
2025-01-31,0.017709850359010723
2025-02-28,-0.014792967746124147
2025-03-31,0.0021633200016587593
2025-04-30,0.0509786924430868
2025-05-30,0.038450795603630246
2025-06-30,0.02197524351931623
2025-07-31,0.00045676840834497163
2025-08-29,0.06551567726344332
2025-09-30,0.019772222334442126
2025-10-31,0.012165653588808677
2025-11-28,-0.002239365554568035
2025-12-31,0.009184212281037583
