Year,ISIN,Weight
2013,JP3820000002,5.302311726779629e-05
2013,JP3582600007,0.002942890556279223
2013,JP3463000004,0.020323222261774822
2013,AU000000NAB4,0.024433049615130206
2013,JP3830800003,0.007997992215782516
2013,JP3818000006,0.0008902694263951666
2013,JP3903000002,1.4146907463311673e-05
2013,JP3551520004,0.0033022437295854756
2013,JP3743000006,0.00047368025443958835
2013,JP3814800003,0.00489122091953085
2013,AU000000BWP3,0.005196657452806361
2013,JP3505000004,0.0006240954055394517
2013,JP3753000003,5.972865932372549e-06
2013,JP3902400005,0.010493928926695551
2013,JP3854600008,0.03711853515291524
2013,JP3166000004,0.0005251422405086523
2013,AU000000AMP6,0.007520247046969663
2013,AU000000IAG3,0.007842897192627424
2013,JP3551500006,4.213017121245914e-05
2013,JP3368000000,8.107053781631415e-06
2013,AU0000038911,0.00013173668422407153
2013,AU000000CQR9,0.002442103267662818
2013,JP3605400005,2.6549559666524323e-06
2013,JP3787000003,0.0025181447857971864
2013,JP3419400001,7.322300405922122e-05
2013,AU000000QAN2,1.3268616312874617e-05
2013,AU000000BEN6,0.002715328044797329
2013,JP3814000000,0.0018240871870439065
2013,JP3357200009,0.0009177942752881856
2013,AU000000WBC1,0.033577510508963716
2013,JP3657400002,0.0015894029186121629
2013,AU000000COH5,0.0019466849117094984
2013,AU000000GPT8,0.0012494893514064566
2013,JP3890310000,0.010386709535309728
2013,JP3850200001,3.082223612374469e-06
2013,AU000000STO6,0.004508778049026389
2013,JP3111200006,2.8154359004387635e-06
2013,JP3256000005,0.0017329759665331728
2013,SG1R50925390,0.0005679191588404297
2013,JP3819400007,0.0014569101585077788
2013,JP3544000007,4.5694908867049295e-05
2013,AU000000SHL7,0.005170406390782847
2013,SG1R89002252,0.001442019021912176
2013,JP3260800002,0.0047962114525164105
2013,JP3519400000,2.730156188854339e-05
2013,AU000000SIG5,0.0007414555635283278
2013,AU000000CSL8,0.011020996944568248
2013,SG1J26887955,0.0021291251572226728
2013,AU000000MGR9,0.0015695725089695288
2013,JP3443600006,7.377686692267459e-05
2013,JP3371200001,0.0031316480008313162
2013,JP3678000005,8.323353441295912e-05
2013,SG9999000020,0.0024723312806741596
2013,AU000000DXS1,0.002325033698425475
2013,AU000000BHP4,0.033398252071271055
2013,JP3496400007,0.013741764886706576
2013,JP3940000007,0.0009005645938185972
2013,JP3769000005,0.0005321954504839427
2013,AU000000IVC8,0.0003794731110723567
2013,JP3783600004,0.0004365304410976719
2013,JP3201200007,0.0009893870611620312
2013,AU000000SGP0,0.000995090615723739
2013,JP3955000009,0.0010069642203808153
2013,JP3421100003,7.611117632038256e-09
2013,JP3112000009,0.0004912997322207334
2013,JP3385980002,0.0012691617643252712
2013,JP3778630008,0.000591587344809176
2013,JP3228600007,3.6808500409376657e-06
2013,JP3711600001,3.742895831468741e-05
2013,JP3870000001,0.0005868573519152046
2013,JP3362700001,6.189019280629269e-06
2013,JP3672400003,0.011199774800051476
2013,JP3116000005,0.0004875089336229783
2013,JP3634600005,0.012640276699851844
2013,JP3351600006,0.008376534412492071
2013,AU000000LLC3,0.00014039005295210844
2013,JP3665200006,0.0034500645126642813
2013,JP3165700000,0.006197421258302608
2013,JP3456000003,0.002312745772722218
2013,AU000000CBA7,0.0323678252134608
2013,JP3942800008,1.2408721954990149e-05
2013,JP3164800009,0.00035779938706732937
2013,JP3407400005,0.003444392408434011
2013,JP3898400001,0.007903406864067838
2013,JP3888300005,1.3883670159566127e-05
2013,JP3119600009,0.0007311749752655577
2013,JP3134800006,0.0008476495806724609
2013,AU000000GWA4,0.0007477472847712043
2013,JP3224200000,0.001167041417735381
2013,JP3502200003,0.00015571176403346359
2013,JP3868400007,0.00042939165875027866
2013,JP3197600004,0.0030516343516091937
2013,BMG8063F1068,0.0027862192880887355
2013,JP3118000003,0.0006306352209158713
2013,JP3304200003,0.006674087614840579
2013,JP3684000007,0.003457642615911017
2013,BMG524401079,0.0015912090795484576
2013,NZCENE0001S6,1.721437012215372e-05
2013,JP3266400005,0.001728272449249114
2013,JP3205800000,0.005761043341618803
2013,JP3811000003,0.0003144436065634112
2013,JP3686800008,3.697250560927143e-06
2013,JP3190000004,8.94910153810272e-06
2013,JP3215800008,2.1321584753486397e-05
2013,JP3726800000,0.02065765585722628
2013,AU000000DOW2,0.0002553600099818655
2013,JP3495000006,0.00045903230337631355
2013,JP3638600001,4.9752954709293596e-05
2013,JP3481800005,0.006336586697470351
2013,JP3429800000,2.1778455599631474e-05
2013,JP3613400005,0.004717133558522634
2013,JP3621000003,9.020168777471398e-05
2013,JP3720800006,0.0036800202766415465
2013,HK0293001514,5.665336854191212e-06
2013,JP3229400001,0.0016633737103089884
2013,AU000000MTS0,0.004171572560411831
2013,JP3258000003,8.737455019380535e-06
2013,JP3493400000,0.00027134990611665333
2013,JP3242800005,0.016259167753762165
2013,AU000000BLD2,8.220885231689825e-05
2013,JP3573000001,0.005540556718550747
2013,JP3405400007,0.0007054462087162111
2013,JP3635400009,0.0002654791608674905
2013,JP3977400005,0.005016147300322737
2013,JP3596200000,0.0002108164327273696
2013,JP3300600008,0.00458002910113977
2013,JP3200450009,1.7047025045956938e-05
2013,JP3522200009,3.0107513945719494e-06
2013,JP3619800000,0.00024169625314177608
2013,JP3870400003,0.0002546946986613696
2013,JP3551200003,1.8566836538859342e-06
2013,JP3566800003,0.014708768077195775
2013,JP3951600000,0.0019938649480223582
2013,JP3475350009,1.7739847281176396e-05
2013,JP3890350006,0.014577928035008784
2013,JP3526600006,4.4148281142880545e-06
2013,JP3733000008,0.0027781561155155745
2013,JP3210200006,0.0023375640611682266
2013,JP3165600002,0.00036428601083949707
2013,JP3539220008,0.009554315694291516
2013,JP3375800004,0.0003765488869644224
2013,JP3122400009,0.0015970051696399129
2013,JP3294460005,0.010069016388035958
2013,JP3738600000,0.005743754334948661
2013,AU000000WES1,0.011265918696600524
2013,AU000000PPT9,0.002241801370653097
2013,JP3180400008,2.7895213001523273e-06
2013,HK0823032773,0.008490944419334326
2013,JP3942400007,0.00836175335557918
2013,AU000000APA1,4.646724647472004e-06
2013,BMG677491539,6.89268830130088e-05
2013,BMG2442N1048,0.003220869280721322
2013,JP3877600001,0.009808623733360817
2013,AU000000QBE9,0.004580563947171141
2013,JP3158800007,2.847079576338557e-06
2013,JP3688370000,0.0007199946452886846
2013,JP3197800000,0.0020133699733869736
2013,JP3734800000,0.002484148995846869
2013,AU000000MND5,0.0001242147165355479
2013,HK0002007356,1.1437692946687707e-05
2013,JP3900000005,0.008105290548990752
2013,JP3289800009,6.895999451006683e-06
2013,HK0019000162,7.169549955105873e-06
2013,JP3126400005,0.003826868357316853
2013,JP3626800001,0.0025037181977144865
2013,JP3830000000,0.002016248133076034
2013,JP3528600004,0.00034961717885545755
2013,SG1F60858221,0.005263788761889981
2013,AU000000OZL8,0.0029623536828592687
2013,JP3269600007,0.00623597142151652
2013,AU000000SUN6,0.006552393478825632
