Year,ISIN,Weight
2014,JP3544000007,2.543677905198306e-09
2014,AU000000SHL7,8.791718580382801e-08
2014,SG1R89002252,1.3394259544775333e-07
2014,JP3260800002,0.07944226577458682
2014,JP3519400000,5.733426638837513e-08
2014,AU000000SIG5,0.0037976724419928956
2014,AU000000CSL8,6.74538096236211e-08
2014,SG1J26887955,0.0049038469866198205
2014,AU000000MGR9,2.0721758247138182e-07
2014,JP3443600006,2.4586934792564913e-08
2014,JP3371200001,0.052204439647786635
2014,JP3678000005,1.0657594133845807e-08
2014,SG9999000020,5.6131946685356816e-08
2014,AU000000DXS1,1.3429018569206181e-07
2014,AU000000BHP4,1.0088266712098894e-08
2014,JP3496400007,4.2775704970037216e-08
2014,JP3940000007,1.125660825007885e-08
2014,JP3769000005,5.732846981690167e-08
2014,AU000000IVC8,4.821100284367096e-08
2014,JP3546800008,3.431959729730684e-08
2014,JP3783600004,8.763682967070287e-09
2014,JP3201200007,4.36908823158587e-08
2014,AU000000SGP0,1.4215005127251799e-07
2014,JP3955000009,8.489179542641664e-08
2014,JP3421100003,1.8492452984811462e-08
2014,JP3112000009,1.8293016323152609e-09
2014,JP3385980002,5.56033318274005e-09
2014,JP3778630008,5.132247690410365e-08
2014,JP3228600007,1.6271334426099762e-12
2014,JP3711600001,1.6625238190103355e-08
2014,JP3870000001,1.3189984281631395e-08
2014,JP3362700001,2.3102342273257317e-10
2014,JP3672400003,1.1748613814924978e-08
2014,JP3116000005,2.9079933842458745e-10
2014,JP3634600005,1.2026161780932241e-08
2014,JP3351600006,1.0881612700815742e-08
2014,AU000000LLC3,5.515647601757196e-08
2014,JP3665200006,1.3576063983007362e-08
2014,JP3165700000,1.2201094321942542e-07
2014,JP3456000003,4.892438362880506e-08
2014,AU000000CBA7,1.4382904983117782e-07
2014,JP3942800008,1.2626739457008447e-08
2014,JP3164800009,0.016857401289367198
2014,JP3407400005,2.2931888255004285e-08
2014,JP3898400001,1.4471809611672631e-08
2014,JP3888300005,6.497415603733468e-10
2014,JP3119600009,0.029581348969325925
2014,JP3134800006,7.931042811026487e-08
2014,AU000000GWA4,6.918372518244743e-08
2014,JP3224200000,3.6422114527469476e-08
2014,JP3502200003,2.8352815608274986e-07
2014,JP3868400007,3.081402385060258e-08
2014,JP3197600004,1.1588228300207847e-08
2014,BMG8063F1068,0.010832627507733023
2014,JP3118000003,1.1543182873496707e-07
2014,JP3304200003,8.348642559249702e-08
2014,JP3684000007,1.3613146394982201e-08
2014,BMG524401079,2.0612181468721214e-07
2014,NZCENE0001S6,1.5491877192627197e-09
2014,JP3266400005,3.838511430152374e-08
2014,JP3205800000,4.03908655715099e-09
2014,JP3811000003,4.738636747364906e-08
2014,JP3686800008,4.310246234272603e-10
2014,JP3190000004,2.235204382967087e-08
2014,JP3215800008,3.0115693471451656e-09
2014,JP3419050004,8.253795520012265e-08
2014,JP3726800000,1.6799183414863644e-08
2014,AU000000DOW2,2.4188414968837778e-08
2014,JP3495000006,6.177199454997292e-09
2014,JP3638600001,6.9518575640049404e-09
2014,JP3481800005,1.8327334231339173e-08
2014,JP3429800000,0.05217674018009543
2014,JP3613400005,1.1264847025972653e-08
2014,JP3621000003,9.462513159954927e-10
2014,JP3720800006,3.581378850682892e-08
2014,HK0293001514,8.597535568311794e-11
2014,JP3229400001,2.864326466902574e-09
2014,AU000000MTS0,4.161122902057217e-08
2014,JP3258000003,1.417397124734804e-08
2014,JP3493400000,1.1783375805081042e-08
2014,JP3242800005,4.1871445420282645e-08
2014,AU000000BLD2,4.156920180405282e-09
2014,JP3573000001,0.00374705828995383
2014,JP3405400007,1.2309804783022074e-07
2014,JP3635400009,9.925212476741529e-09
2014,JP3977400005,0.032788614493988566
2014,HK0242001243,7.797935334913595e-09
2014,JP3596200000,0.007690029397845781
2014,JP3300600008,1.8387221628552825e-08
2014,JP3200450009,8.486218531856928e-08
2014,JP3522200009,0.0
2014,JP3619800000,1.8328788919447066e-09
2014,JP3870400003,7.033485547987629e-08
2014,JP3551200003,5.235495694929029e-12
2014,JP3566800003,5.288643779149565e-08
2014,JP3951600000,1.0110953927287632e-08
2014,JP3475350009,2.0602509344434948e-08
2014,HK0016000132,3.4361171902290376e-08
2014,JP3890350006,2.2292054924849415e-07
2014,JP3526600006,0.013545457536336071
2014,JP3733000008,8.317980455775359e-08
2014,JP3210200006,2.7855728131490828e-08
2014,JP3165600002,1.8363585099667384e-08
2014,JP3539220008,1.6735533511357645e-07
2014,JP3375800004,2.9801487557209593e-08
2014,JP3122400009,1.575261245820067e-07
2014,JP3894900004,3.572027104270021e-08
2014,JP3294460005,2.888264139040816e-08
2014,JP3738600000,0.0007748266803001874
2014,AU000000WES1,1.8134068642630097e-08
