Year,CF_MV,CF_VW,CF_MV_05,CF_TE_05,CF_NZ,WACI_MV,WACI_VW,WACI_MV_05,WACI_TE_05,WACI_NZ
2013,1431.1468392861586,227.9315814378534,715.1350876719068,34.169680168857035,34.169680168857035,2355.1997808029746,191.51430209786733,2177.741899746417,57.69615015173189,57.69615015173189
2014,1375.3098092582884,209.1463926945402,687.6548972233534,30.480082035887175,30.480082035887175,1705.0562537083097,175.88117799161714,1546.157961084328,35.258557479613074,35.258557479613074
2015,965.0337233837079,217.5362844162682,482.5168521718743,18.977958022753977,18.977958022753977,1722.6988365709017,346.23793653759697,3102.415475497886,59.20121505107211,59.20121505107211
2016,726.6003740014968,265.11644629574886,363.30017644167447,12.891840213623645,12.891840213623645,2874.24574208079,443.45814484331305,5045.231681114033,16.862277593999583,16.862277593999583
2017,680.8349872917654,232.77169483685014,340.41749364587923,11.583803710608326,11.583803710608326,1992.5038032071752,517.2876877265007,1043.709427003385,18.247078142981433,18.247078142981433
2018,949.1134944110089,181.3526352040792,474.55670964538166,12.15843077762442,12.15843077762442,1622.7616279564386,395.54077286096117,1162.8665887109325,18.0296898024488,18.0296898024488
2019,696.9137843050073,194.76483248079631,348.45687347164153,9.882188945676301,9.882188945676301,1190.9735226740615,300.37190715462305,693.2831704257903,11.370971019893313,11.370971019893313
2020,666.3836793859464,155.03978574312208,333.1918396928132,9.271013021441714,9.271013021441714,1105.927178244604,242.43828595401305,619.4432684584629,16.130748188745056,16.130748188745056
2021,869.2360376944182,151.6312846229167,434.6180024823112,9.340735078039694,9.340735078039694,1300.8678984212604,201.5374206827714,796.1403581672107,14.6800308872398,14.6800308872398
2022,520.083869950963,152.7499107133157,260.0419140404859,10.450004991273282,10.450004991273282,713.5780614623851,228.038805112986,342.46254655402447,16.14657916605344,16.14657916605344
2023,444.3476097470151,155.02705289637964,222.17060030209208,10.411358360632121,10.411358360632121,352.829887915533,205.50853841997335,105.23081298157567,13.62265033312254,13.62265033312254
2024,454.6073635572504,147.75891742561842,227.30075426297557,12.322135449182369,12.322135449182369,419.0956999535149,204.75028905283324,115.07350593403353,28.168260016581833,28.168260016581833
