,P_mv_oos,P_mv_oos(0.5)
Annualized Return,0.07647769141157124,0.08503671244525135
Annualized Volatility,0.11933664219899355,0.12001530294054956
Sharpe Ratio,0.6408567394082102,0.7085489130279903
Min Monthly Return,-0.1260560062858658,-0.14519003063130143
Max Monthly Return,0.098436470869745,0.11079251979456087
Cumulative Return,1.2248071364989679,1.4441716185723066
