,P_vw_oos,P_vw_oos(0.5),P_vw_oos(NZ)
Annualized Return,0.07592064351458028,0.07585746811756766,0.07585746811756766
Annualized Volatility,0.12914071417053138,0.13323633346220834,0.13323633346220834
Sharpe Ratio,0.5878908445118743,0.5693452089709761,0.5693452089709761
Min Monthly Return,-0.1075897946467893,-0.1248479368358004,-0.1248479368358004
Max Monthly Return,0.130681155663674,0.13624077892449185,0.13624077892449185
Cumulative Return,1.1795849585808051,1.1641493857243606,1.1641493857243606
