ReferenceWeight,CandidateWeight,DeltaWeight,AbsDeltaWeight,ChangeType,Year,ISIN
0.1190729014333417,0.0818687707683368,-0.0372041306650049,0.0372041306650049,Underweighted,2014,HK0002007356
0.0,0.0354992189995017,0.0354992189995017,0.0354992189995017,Added,2014,JP3246400000
0.0363035225482576,0.0077327784791035,-0.0285707440691541,0.0285707440691541,Underweighted,2014,JP3350800003
0.0304755078828993,0.0057971341446292,-0.0246783737382701,0.0246783737382701,Underweighted,2014,HK0019000162
0.0219852903923758,0.0,-0.0219852903923758,0.0219852903923758,Removed,2014,JP3526600006
0.000153090845224,0.0201162171058354,0.0199631262606113,0.0199631262606113,Overweighted,2014,HK0011000095
0.1243744064385087,0.1385201217119981,0.0141457152734893,0.0141457152734893,Overweighted,2014,JP3982100004
0.0249283714122929,0.0387367136272017,0.0138083422149088,0.0138083422149088,Overweighted,2014,HK0823032773
0.0369935318269908,0.0497264497383771,0.0127329179113862,0.0127329179113862,Overweighted,2014,JP3260800002
0.0256424103929049,0.0139265570885185,-0.0117158533043864,0.0117158533043864,Underweighted,2014,JP3429800000
0.0138110067430157,0.0222567256549743,0.0084457189119586,0.0084457189119586,Overweighted,2014,JP3738600000
0.0192326250929869,0.0251048159566789,0.0058721908636919,0.0058721908636919,Overweighted,2014,JP3357200009
0.0052061154647153,0.0107764010885351,0.0055702856238198,0.0055702856238198,Overweighted,2014,BMG8063F1068
0.0239938622933783,0.0291864274312264,0.005192565137848,0.005192565137848,Overweighted,2014,JP3164800009
0.0173606524209183,0.0121681983459226,-0.0051924540749957,0.0051924540749957,Underweighted,2014,JP3734800000
0.0106548015823668,0.0154842317280078,0.0048294301456409,0.0048294301456409,Overweighted,2014,JP3573000001
0.0,0.0042854157560148,0.0042854157560148,0.0042854157560148,Added,2014,HK0003000038
0.0656516899578617,0.0697414428461816,0.0040897528883199,0.0040897528883199,Overweighted,2014,JP3977400005
0.0150476353600436,0.0119706434350177,-0.0030769919250259,0.0030769919250259,Underweighted,2014,SG1J26887955
0.0189114928069141,0.0158476968121328,-0.0030637959947813,0.0030637959947813,Underweighted,2014,JP3119600009
0.1921050791335956,0.1168493464697024,-0.0752557326638932,0.0752557326638932,Underweighted,2015,HK0002007356
0.0226608938475389,1.3905642753951352e-11,-0.0226608938336333,0.0226608938336333,Underweighted,2015,JP3526600006
0.0538819159180887,0.0339227858259861,-0.0199591300921026,0.0199591300921026,Underweighted,2015,JP3429800000
0.014316086530835,0.0337776641414702,0.0194615776106351,0.0194615776106351,Overweighted,2015,HK0823032773
0.0192735614875707,2.1882292296604766e-10,-0.0192735612687478,0.0192735612687478,Underweighted,2015,HK0019000162
0.0,0.0189729571669202,0.0189729571669202,0.0189729571669202,Added,2015,JP3246400000
0.1461001437680424,0.1646361963233815,0.018536052555339,0.018536052555339,Overweighted,2015,JP3982100004
0.077542166406686,0.093885029570374,0.016342863163688,0.016342863163688,Overweighted,2015,JP3260800002
0.0306101551852413,0.0462238159452041,0.0156136607599627,0.0156136607599627,Overweighted,2015,JP3977400005
0.0356175218029757,0.0508498646722487,0.015232342869273,0.015232342869273,Overweighted,2015,JP3357200009
0.0150927640196166,4.119617720063856e-11,-0.0150927639784205,0.0150927639784205,Underweighted,2015,JP3350800003
0.1326256352298196,0.1465871894812502,0.0139615542514306,0.0139615542514306,Overweighted,2015,HK0006000050
0.0075721179338424,0.0197748046554994,0.0122026867216569,0.0122026867216569,Overweighted,2015,HK0066009694
