,Annualized Average Return,Annualized Volatility,Annualized Cumulative Return,Sharpe Ratio,Minimum Monthly Return,Maximum Monthly Return,VaR_95 (monthly),VaR_99 (monthly),ES_95 (monthly),ES_99 (monthly),Max_Drawdown
P_vw_oos,0.07368513028127814,0.13198124865753127,0.06699265210726124,0.42687418170236785,-0.11442251197480208,0.13291616758843383,0.0662576880616247,0.0936092469563911,0.08520065479793201,0.10753444727337301,-0.22852219303544974
P_vw_oos(0.5),0.07370027072735531,0.13213886593733992,0.06698709518087642,0.42643729683745046,-0.11877606849422695,0.12934986625209988,0.06362872434187951,0.09152201716023596,0.08408382758786838,0.10751254497547619,-0.22444109924701494
P_vw_oos(NZ),0.0733701896899688,0.13236290020472752,0.06660472895800318,0.4232194548934175,-0.11901920755517947,0.1296392563850354,0.06379830308829301,0.09178120100068081,0.084267301563468,0.1076691665774148,-0.22436215550407312
