,Return
2014-01-31,-0.02346194196295655
2014-02-28,0.03783844660637279
2014-03-31,0.00705956405696367
2014-04-30,-0.010806639037948242
2014-05-31,0.05037753342829777
2014-06-30,0.04570977172388061
2014-07-31,0.014385005006529481
2014-08-31,0.011740071093674614
2014-09-30,-0.024148697858947472
2014-10-31,0.01642256515329399
2014-11-30,-0.00400642990764132
2014-12-31,-0.010584312274774544
2015-01-31,0.06684056873658
2015-02-28,0.012240755084740377
2015-03-31,0.011573139100209564
2015-04-30,0.044104282980149345
2015-05-31,0.011677317426861513
2015-06-30,0.005763530313694692
2015-07-31,0.02560725598217664
2015-08-31,-0.054561423780437136
2015-09-30,0.03617967218401909
2015-10-31,0.09921187576516696
2015-11-30,-0.040825902248570974
2015-12-31,0.07398991248922464
2016-01-31,-0.04375901580846457
2016-02-29,0.013176789762324824
2016-03-31,0.047027248864885095
2016-04-30,0.02999604112813421
2016-05-31,-0.002589527933381444
2016-06-30,0.006177506337057792
2016-07-31,0.05561351619050707
2016-08-31,-0.026773780274262943
2016-09-30,0.03347182160605661
2016-10-31,-0.006307874928846968
2016-11-30,-0.03862073155912231
2016-12-31,-0.00040539943366170103
2017-01-31,0.043556265449405523
2017-02-28,0.006321017373500924
2017-03-31,0.009813564028764259
2017-04-30,0.0076472964084667305
2017-05-31,0.047402002167074894
2017-06-30,0.011310641706396065
2017-07-31,0.023685947388633267
2017-08-31,-0.0025146547405290277
2017-09-30,-0.0063963590643462374
2017-10-31,0.026159836374337768
2017-11-30,0.03258958382644266
2017-12-31,0.005518220439243733
2018-01-31,0.0348527781410044
2018-02-28,-0.02042394585714931
2018-03-31,-0.005317671509319317
2018-04-30,0.0024968524238249312
2018-05-31,-0.006721474055083182
2018-06-30,-0.01691651493484207
2018-07-31,-0.007879269806411805
2018-08-31,-0.013584664527772329
2018-09-30,0.019794216577714206
2018-10-31,-0.06350756741968713
2018-11-30,0.013713270273681341
2018-12-31,-0.026138495071468808
2019-01-31,0.048281890199742855
2019-02-28,-0.00116971840001122
2019-03-31,-0.005134215654994585
2019-04-30,-0.0166575415032082
2019-05-31,-0.02185384446520792
2019-06-30,0.029691761092063878
2019-07-31,-0.0022058415546751223
2019-08-31,-0.02229501600013887
2019-09-30,0.02589728804362448
2019-10-31,0.03513235782276209
2019-11-30,0.002174317121085981
2019-12-31,0.01910151594876033
2020-01-31,-0.01482384082749303
2020-02-29,-0.08128706739550536
2020-03-31,-0.06342299823366944
2020-04-30,0.023299252501758048
2020-05-31,0.007571997735622174
2020-06-30,-0.0030860239035684287
2020-07-31,-0.014739209204847155
2020-08-31,0.05732747860439014
2020-09-30,-0.022796810898980377
2020-10-31,-0.03303920438396533
2020-11-30,0.08758366306826258
2020-12-31,0.03430858423378548
2021-01-31,0.013883368893076455
2021-02-28,-0.0059074660987274525
2021-03-31,0.0303450159463357
2021-04-30,-0.005680120275621257
2021-05-31,0.016991275426975178
2021-06-30,0.0013845700888113221
2021-07-31,-0.010136352231087609
2021-08-31,0.028594053403038975
2021-09-30,0.010247857033799473
2021-10-31,-0.019015730870902935
2021-11-30,-0.029994046325612575
2021-12-31,0.016610064375849505
2022-01-31,-0.015815165805756662
2022-02-28,0.009445205406877993
2022-03-31,-0.0203348826798614
2022-04-30,-0.04199971615827071
2022-05-31,0.01789964246065592
2022-06-30,-0.039118698637616134
2022-07-31,0.026948926777106377
2022-08-31,-0.017117169507013447
2022-09-30,-0.06922471926544242
2022-10-31,-0.0246353800557571
2022-11-30,0.10514101180718889
2022-12-31,-0.007380180780066339
2023-01-31,0.0350672837932377
2023-02-28,-0.03841233072363996
2023-03-31,0.03487263824385475
2023-04-30,0.023806985895870443
2023-05-31,-0.009475254176240273
2023-06-30,0.021426874609805815
2023-07-31,0.028790197797553364
2023-08-31,-0.007041049821723746
2023-09-30,-0.014453576277504484
2023-10-31,-0.023584830171923025
2023-11-30,-0.008133869594913197
2023-12-31,0.057016147411035216
2024-01-31,0.011038832308606545
2024-02-29,-0.000707764193262588
2024-03-31,0.026834198092760952
2024-04-30,-0.02467144732376369
2024-05-31,-0.01770486260507344
2024-06-30,-0.023656889379015663
2024-07-31,0.04843101468438285
2024-08-31,0.017537449203171646
2024-09-30,0.016217891446978206
2024-10-31,-0.045985949293053024
2024-11-30,0.023350643306148233
2024-12-31,-0.01289153870016724
2025-01-31,0.012735250439224839
2025-02-28,0.013379581702615554
2025-03-31,0.02931208206587351
2025-04-30,0.06345709529451467
2025-05-31,0.02103435439989002
2025-06-30,0.02977371000977399
2025-07-31,0.01552230235581092
2025-08-31,0.06051289931701117
2025-09-30,0.012996264523457271
2025-10-31,-0.005784357634799095
2025-11-30,0.024398929756405927
2025-12-31,-0.0070977100979327905
