ReferenceWeight,CandidateWeight,DeltaWeight,AbsDeltaWeight,ChangeType,Year,ISIN
0.0,2.8605646881844194e-07,2.8605646881844194e-07,2.8605646881844194e-07,Added,2014,SGXE21576413
0.0,2.2319355667607545e-07,2.2319355667607545e-07,2.2319355667607545e-07,Added,2014,JP3582600007
0.0,2.2179985352455894e-07,2.2179985352455894e-07,2.2179985352455894e-07,Added,2014,AU000000PPT9
0.0,2.170908918265742e-07,2.170908918265742e-07,2.170908918265742e-07,Added,2014,AU000000MGR9
0.0,1.7712510921282178e-07,1.7712510921282178e-07,1.7712510921282178e-07,Added,2014,BMG524401079
0.0,1.7712053461733955e-07,1.7712053461733955e-07,1.7712053461733955e-07,Added,2014,AU000000SUN6
0.0,1.7369739694168338e-07,1.7369739694168338e-07,1.7369739694168338e-07,Added,2014,JP3762600009
0.0,1.7072676965151651e-07,1.7072676965151651e-07,1.7072676965151651e-07,Added,2014,JP3528600004
0.0,1.7067331050831376e-07,1.7067331050831376e-07,1.7067331050831376e-07,Added,2014,AU000000NAB4
0.0,1.675648145311374e-07,1.675648145311374e-07,1.675648145311374e-07,Added,2014,AU000000ANZ3
0.0,1.6700504619410553e-07,1.6700504619410553e-07,1.6700504619410553e-07,Added,2014,AU000000BEN6
0.0,1.6457766653907169e-07,1.6457766653907169e-07,1.6457766653907169e-07,Added,2014,AU000000GPT8
0.0,1.561179626516956e-07,1.561179626516956e-07,1.561179626516956e-07,Added,2014,HK0388045442
0.0,1.5194870006883543e-07,1.5194870006883543e-07,1.5194870006883543e-07,Added,2014,AU000000QBE9
0.0,1.5028428758432915e-07,1.5028428758432915e-07,1.5028428758432915e-07,Added,2014,AU000000AMP6
0.0,1.4822907653563492e-07,1.4822907653563492e-07,1.4822907653563492e-07,Added,2014,JP3122400009
0.0,1.4804628610523064e-07,1.4804628610523064e-07,1.4804628610523064e-07,Added,2014,AU000000WBC1
0.0,1.4501522642986798e-07,1.4501522642986798e-07,1.4501522642986798e-07,Added,2014,SG1R89002252
0.0,1.407946673892353e-07,1.407946673892353e-07,1.407946673892353e-07,Added,2014,JP3502200003
0.0,1.3809749855990993e-07,1.3809749855990993e-07,1.3809749855990993e-07,Added,2014,AU000000ASX7
0.0,1.3790568165289477e-07,1.3790568165289477e-07,1.3790568165289477e-07,Added,2014,AU000000COH5
0.0,1.376972140119879e-07,1.376972140119879e-07,1.376972140119879e-07,Added,2014,AU000000TAH8
0.0,1.2508008547199029e-07,1.2508008547199029e-07,1.2508008547199029e-07,Added,2014,JP3890350006
0.0,1.207194897208805e-07,1.207194897208805e-07,1.207194897208805e-07,Added,2014,AU000000CBA7
0.0,1.1918282707350807e-07,1.1918282707350807e-07,1.1918282707350807e-07,Added,2014,AU000000DXS1
0.0,1.1659168022088535e-07,1.1659168022088535e-07,1.1659168022088535e-07,Added,2014,AU000000MND5
0.0,1.102178488841916e-07,1.102178488841916e-07,1.102178488841916e-07,Added,2014,JP3571400005
0.0,1.0993488697513883e-07,1.0993488697513883e-07,1.0993488697513883e-07,Added,2014,AU000000SGP0
0.0,1.079051172280471e-07,1.079051172280471e-07,1.079051172280471e-07,Added,2014,AU000000IAG3
0.0,1.044897554044817e-07,1.044897554044817e-07,1.044897554044817e-07,Added,2014,SG1J26887955
0.0,1.0398432216416199e-07,1.0398432216416199e-07,1.0398432216416199e-07,Added,2014,AU000000TCL6
0.0,9.81878205301479e-08,9.81878205301479e-08,9.81878205301479e-08,Added,2014,AU000000WOR2
0.0,9.429956351194536e-08,9.429956351194536e-08,9.429956351194536e-08,Added,2014,JP3877600001
0.0,9.358563111504196e-08,9.358563111504196e-08,9.358563111504196e-08,Added,2014,NZTELE0001S4
0.0,8.943584079174407e-08,8.943584079174407e-08,8.943584079174407e-08,Added,2014,JP3118000003
0.0,8.378553357361384e-08,8.378553357361384e-08,8.378553357361384e-08,Added,2014,NZAIAE0002S6
0.0,8.376192528557287e-08,8.376192528557287e-08,8.376192528557287e-08,Added,2014,JP3209000003
0.0,8.000621758728226e-08,8.000621758728226e-08,8.000621758728226e-08,Added,2014,AU000000SHL7
0.0,7.566347944801325e-08,7.566347944801325e-08,7.566347944801325e-08,Added,2014,JP3539220008
0.0,7.525850806859867e-08,7.525850806859867e-08,7.525850806859867e-08,Added,2014,JP3165700000
0.0,7.335055197620741e-08,7.335055197620741e-08,7.335055197620741e-08,Added,2014,JP3551520004
0.0,7.225402676783156e-08,7.225402676783156e-08,7.225402676783156e-08,Added,2014,BMG2442N1048
0.0,6.982631655662122e-08,6.982631655662122e-08,6.982631655662122e-08,Added,2014,JP3304200003
0.0,6.969392646356435e-08,6.969392646356435e-08,6.969392646356435e-08,Added,2014,SGXE34184239
0.0,6.825124728142422e-08,6.825124728142422e-08,6.825124728142422e-08,Added,2014,JP3890310000
0.0,6.789145955237097e-08,6.789145955237097e-08,6.789145955237097e-08,Added,2014,JP3405400007
0.0,6.675722130589892e-08,6.675722130589892e-08,6.675722130589892e-08,Added,2014,AU000000BWP3
0.0,6.405279894551332e-08,6.405279894551332e-08,6.405279894551332e-08,Added,2014,JP3778630008
0.0,6.185765256691872e-08,6.185765256691872e-08,6.185765256691872e-08,Added,2014,JP3902900004
0.0,5.8415666569323294e-08,5.8415666569323294e-08,5.8415666569323294e-08,Added,2014,HK0010000088
0.0,5.746989355275412e-08,5.746989355275412e-08,5.746989355275412e-08,Added,2014,JP3657400002
0.0,5.694259608056803e-08,5.694259608056803e-08,5.694259608056803e-08,Added,2014,JP3910660004
0.0,5.676795588435784e-08,5.676795588435784e-08,5.676795588435784e-08,Added,2014,JP3787000003
0.0,5.402405704678966e-08,5.402405704678966e-08,5.402405704678966e-08,Added,2014,AU000000IGO4
0.0,5.3486070487513964e-08,5.3486070487513964e-08,5.3486070487513964e-08,Added,2014,SG9999000020
0.0,5.3032276133246445e-08,5.3032276133246445e-08,5.3032276133246445e-08,Added,2014,JP3385820000
0.0,5.022128764914272e-08,5.022128764914272e-08,5.022128764914272e-08,Added,2014,JP3200450009
0.0,4.832082940839142e-08,4.832082940839142e-08,4.832082940839142e-08,Added,2014,JP3166000004
0.0,4.8173130547557605e-08,4.8173130547557605e-08,4.8173130547557605e-08,Added,2014,IE00BKVD2N49
0.0,4.735577225828654e-08,4.735577225828654e-08,4.735577225828654e-08,Added,2014,AU000000GWA4
0.0,4.6353046143893394e-08,4.6353046143893394e-08,4.6353046143893394e-08,Added,2014,JP3126400005
0.0,4.5860588425595646e-08,4.5860588425595646e-08,4.5860588425595646e-08,Added,2014,AU000000TLS2
0.0,4.510028041476493e-08,4.510028041476493e-08,4.510028041476493e-08,Added,2014,JP3870400003
0.0,4.3692701816917465e-08,4.3692701816917465e-08,4.3692701816917465e-08,Added,2014,AU000000SIG5
0.0,4.094051692126636e-08,4.094051692126636e-08,4.094051692126636e-08,Added,2014,AU000000CSL8
0.0,4.011939533177088e-08,4.011939533177088e-08,4.011939533177088e-08,Added,2014,JP3830000000
0.0,4.009749441191093e-08,4.009749441191093e-08,4.009749441191093e-08,Added,2014,JP3955000009
0.0,3.913342764741889e-08,3.913342764741889e-08,3.913342764741889e-08,Added,2014,JP3201200007
0.0,3.903241638413467e-08,3.903241638413467e-08,3.903241638413467e-08,Added,2014,JP3733000008
0.0,3.8868324949081463e-08,3.8868324949081463e-08,3.8868324949081463e-08,Added,2014,AU000000MTS0
0.0,3.8681204802010763e-08,3.8681204802010763e-08,3.8681204802010763e-08,Added,2014,AU000000IVC8
0.0,3.833168327235063e-08,3.833168327235063e-08,3.833168327235063e-08,Added,2014,JP3270000007
0.0,3.824178687877336e-08,3.824178687877336e-08,3.824178687877336e-08,Added,2014,AU000000LLC3
0.0,3.707942473281244e-08,3.707942473281244e-08,3.707942473281244e-08,Added,2014,JP3667600005
0.0,3.705555891438204e-08,3.705555891438204e-08,3.705555891438204e-08,Added,2014,JP3900000005
0.0,3.663538582200151e-08,3.663538582200151e-08,3.663538582200151e-08,Added,2014,JP3134800006
0.0,3.531638636100925e-08,3.531638636100925e-08,3.531638636100925e-08,Added,2014,JP3194000000
0.0,3.1342180289716405e-08,3.1342180289716405e-08,3.1342180289716405e-08,Added,2014,JP3456000003
0.0,2.932232131379574e-08,2.932232131379574e-08,2.932232131379574e-08,Added,2014,JP3819400007
0.0,2.8823466408054416e-08,2.8823466408054416e-08,2.8823466408054416e-08,Added,2014,AU000000SGM7
0.0,2.8151380161745303e-08,2.8151380161745303e-08,2.8151380161745303e-08,Added,2014,JP3734800000
0.0,2.725783960987052e-08,2.725783960987052e-08,2.725783960987052e-08,Added,2014,JP3811000003
