Year,CF_MV,CF_VW,CF_MV_05,CF_TE_05,CF_NZ,WACI_MV,WACI_VW,WACI_MV_05,WACI_TE_05,WACI_NZ,LW_delta,LW_r_bar
2013,682.2787147355656,227.93158143785337,341.1393569950684,113.96579071893876,227.93158143785413,2436.3461193224853,191.5143020978674,2189.034048854544,148.09107595739317,191.30727507794555,0.43661650209277675,0.28595710597277935
2014,677.9662320882886,209.14639269454025,338.9831146291633,104.57305570936707,205.13842329406822,2046.9511465860892,175.8811779916172,1742.8192133401978,122.59774045811206,173.45698609017649,0.43281471368642344,0.27816685045917433
2015,560.388709117468,217.5362844162682,280.19198727225285,108.76814220813407,184.62458096473085,5552.725556079199,346.23793653759697,5954.129410700942,288.1553238983716,332.2101976212988,0.3934495080427894,0.2794276358029218
2016,560.128404143681,265.1164462957488,280.0641990403864,132.55341771987693,166.16212290942258,6542.148555496893,443.45814484331277,7065.377888081849,386.6396388670592,400.3677273696126,0.3701389617741221,0.2788868431137504
2017,502.33971642496147,232.77169483685012,251.1698529166051,116.38584750178838,149.5459109721628,5277.7818548574505,517.287687726501,5064.571081822927,462.0809244652846,480.0450912352778,0.3939131346695685,0.28194520071804247
2018,710.5852600451478,181.35263520407918,355.2926300225203,90.67601667259929,134.59131952323787,3616.019629610669,395.54077286096117,3655.2886921860713,347.7661022849213,371.64824103433835,0.3747859598847437,0.25509046721737644
2019,532.3171748003358,194.76483248079631,266.1585874001677,97.38241661919434,121.13218757090534,1239.247721881392,300.37190715462305,632.5304415769772,246.1243932256583,265.9050223479035,0.3640814202934877,0.22861387813336886
2020,567.620822545242,155.03978574312208,283.81041127261904,77.51989287158965,109.01896881382268,1196.9639640798644,242.43828595401314,824.5821866698783,212.72945660803802,223.9545215327873,0.3898524822457598,0.25090332737826954
2021,659.1004997456764,151.6312846229167,329.55024987282656,75.8155107710537,98.11707285207348,1705.05933891943,201.53742068277137,1330.3135865698137,166.26845217004401,176.59939190344647,0.4528288104293917,0.2444162866229579
2022,392.08910026015343,152.7499107133157,196.0445501300734,76.37495535665823,88.30536473919797,941.3980899207373,228.0388051129861,657.1750835308715,180.91168514415932,192.90088467802275,0.4810484365702626,0.2535511873046873
2023,338.17264310618737,155.02705289637964,169.08632155309164,77.5135184553617,79.4747969853233,605.0636670100657,205.50853841997335,267.4040101277849,166.33325872596467,167.9526508377022,0.486993917787029,0.26087068351886084
2024,370.58602983924584,147.75891742561842,185.29301491962178,73.87945871280913,71.52734543874928,566.8223505258319,204.75028905283327,281.5662160513756,162.43259207265308,159.54715082218448,0.46928241499818346,0.2561413798434343
