Year,NZ_target
2013,205.13842329406808
2014,184.62458096466128
2015,166.16212286819515
2016,149.54591058137564
2017,134.5913195232381
2018,121.13218757091427
2019,109.01896881382285
2020,98.11707193244058
2021,88.30536473919652
2022,79.47482826527687
2023,71.52734543874918
2024,64.37461089487427
