ReferenceWeight,CandidateWeight,DeltaWeight,AbsDeltaWeight,ChangeType,Year,ISIN
0.0012463693558365174,0.0006599010006003522,-0.0005864683552361652,0.0005864683552361652,Underweighted,2014,JP3551200003
0.0014948378756375156,0.0017717394049822062,0.00027690152934469066,0.00027690152934469066,Overweighted,2014,JP3246400000
0.0013162773125879788,0.0010723869769492984,-0.00024389033563868034,0.00024389033563868034,Underweighted,2014,JP3605400005
0.0015800681242797078,0.0013490642731525462,-0.0002310038511271616,0.0002310038511271616,Underweighted,2014,JP3522200009
0.000563263809642017,0.00034571968234523677,-0.00021754412729678023,0.00021754412729678023,Underweighted,2014,JP3223800008
0.0006956912395118654,0.00051505261625911,-0.0001806386232527554,0.0001806386232527554,Underweighted,2014,JP3158800007
0.0004770193902041056,0.0003152732470507792,-0.00016174614315332637,0.00016174614315332637,Underweighted,2014,JP3595200001
0.0007906941044446088,0.0006291990210530539,-0.00016149508339155484,0.00016149508339155484,Underweighted,2014,JP3845400005
0.0012003326520111759,0.001049679192485519,-0.00015065345952565683,0.00015065345952565683,Underweighted,2014,AU000000QAN2
0.0006493220206715341,0.0004991170259701824,-0.0001502049947013517,0.0001502049947013517,Underweighted,2014,JP3850200001
0.00034063835680602823,0.00021352969147052627,-0.00012710866533550196,0.00012710866533550196,Underweighted,2014,JP3686800008
0.0013005360517783602,0.001183259734237778,-0.00011727631754058208,0.00011727631754058208,Underweighted,2014,JP3753000003
0.0010888536680856865,0.0009727901721632037,-0.00011606349592248278,0.00011606349592248278,Underweighted,2014,JP3449020001
0.001354958784281745,0.0012461917485348173,-0.00010876703574692784,0.00010876703574692784,Underweighted,2014,JP3903000002
0.0012820216157437268,0.0011801142283972485,-0.00010190738734647828,0.00010190738734647828,Underweighted,2014,JP3362700001
0.00024080404870548263,0.00034139006274706065,0.00010058601404157802,0.00010058601404157802,Overweighted,2014,AU000000ERA9
0.0013197786956958214,0.0012256590261033428,-9.411966959247862e-05,9.411966959247862e-05,Underweighted,2014,JP3289800009
0.008718882858348546,0.00880080530372756,8.192244537901482e-05,8.192244537901482e-05,Overweighted,2014,JP3304200003
0.004017732374019978,0.003939760065834114,-7.797230818586392e-05,7.797230818586392e-05,Underweighted,2014,IE00BKVD2N49
0.00252591040956842,0.0024486935345440996,-7.721687502432054e-05,7.721687502432054e-05,Underweighted,2014,HK0293001514
0.0006640856873370823,0.0005886323136371063,-7.545337369997609e-05,7.545337369997609e-05,Underweighted,2014,AU000000BSL0
0.0007430048009947678,0.0006698397557226789,-7.316504527208896e-05,7.316504527208896e-05,Underweighted,2014,AU000000OZL8
0.0016860905368092142,0.0017590830273215203,7.299249051230614e-05,7.299249051230614e-05,Overweighted,2014,JP3351600006
0.00196045532597762,0.0020307728891741155,7.031756319649538e-05,7.031756319649538e-05,Overweighted,2014,JP3027680002
0.0027945692410796005,0.0028615780296598354,6.700878858023488e-05,6.700878858023488e-05,Overweighted,2014,JP3818000006
0.003879695415847251,0.003813834569139316,-6.586084670793515e-05,6.586084670793515e-05,Underweighted,2014,HK0019000162
0.002655870578027044,0.002721535530805175,6.566495277813113e-05,6.566495277813113e-05,Overweighted,2014,JP3973400009
0.00043262863570296375,0.000496972769814333,6.434413411136923e-05,6.434413411136923e-05,Overweighted,2014,JP3891600003
0.007027119615383606,0.007091228588275592,6.410897289198594e-05,6.410897289198594e-05,Overweighted,2014,JP3762600009
0.0014605555775920643,0.0015234083162755001,6.285273868343578e-05,6.285273868343578e-05,Overweighted,2014,BMG677491539
