,Annualized Average Return,Annualized Volatility,Annualized Cumulative Return,Sharpe Ratio,Minimum Monthly Return,Maximum Monthly Return,VaR_95 (monthly),VaR_99 (monthly),ES_95 (monthly),ES_99 (monthly),Max_Drawdown
P_mv_oos,0.08297304640916292,0.1094799354129191,0.07985198788651937,0.5974274559380806,-0.08161278032634771,0.10330842240125937,0.04281215694057214,0.06964336135961395,0.059128087660222685,0.07643860435662259,-0.19346925237297197
P_mv_oos(0.5),0.08430789359518424,0.10968959961890269,0.08126647758766725,0.6084114884695937,-0.08128706739550536,0.10514101180718889,0.04182364407181575,0.06676634397176764,0.05796855716931623,0.07525589333047389,-0.19159184622318004
P_vw_oos,0.07368513028127816,0.13198124865753127,0.06699265210726146,0.4268741817023679,-0.11442251197480205,0.1329161675884338,0.06625768806162469,0.0936092469563911,0.08520065479793201,0.107534447273373,-0.22852219303544996
P_vw_oos(0.5),0.07344067533628226,0.132070304324001,0.0667202155988944,0.42469843335322105,-0.11883298466348989,0.12877437293163954,0.0637100824262195,0.09145806045644857,0.08409116123213506,0.10755013935854656,-0.2244384426213939
