,Active Return (ann.),Tracking Error (ann.),Information Ratio,Avg Active Share
P_vw_oos(0.5),0.00017025674048517663,0.01766347456391007,0.00963891559778643,0.38235802947879055
P_vw_oos(NZ),0.00017025674048517663,0.01766347456391007,0.00963891559778643,0.38235802947879055
