,Annualized Average Return,Annualized Volatility,Annualized Cumulative Return,Sharpe Ratio,Minimum Monthly Return,Maximum Monthly Return,VaR_95 (monthly),VaR_99 (monthly),ES_95 (monthly),ES_99 (monthly),Max_Drawdown
P_mv_oos,0.07682647198193558,0.10824927569565367,0.07338733400997066,0.5492715119970986,-0.09470271811091882,0.09892414747185098,0.04169484011996668,0.06680960095412364,0.05987294534555003,0.08149374075250594,-0.17474578107693606
P_mv_oos(0.5),0.07688688166619986,0.11268806168670835,0.07294440677905478,0.5281882160827415,-0.10474221036771568,0.10388027285267157,0.043483898821025976,0.06408304747118933,0.05963384201034535,0.08628561963870347,-0.17391878675648842
P_vw_oos,0.07368513028127814,0.13198124865753127,0.06699265210726124,0.42687418170236785,-0.11442251197480208,0.13291616758843383,0.0662576880616247,0.0936092469563911,0.08520065479793201,0.10753444727337301,-0.22852219303544974
P_vw_oos(0.5),0.07370027072735531,0.13213886593733992,0.06698709518087642,0.42643729683745046,-0.11877606849422695,0.12934986625209988,0.06362872434187951,0.09152201716023596,0.08408382758786838,0.10751254497547619,-0.22444109924701494
P_vw_oos(NZ),0.0733701896899688,0.13236290020472752,0.06660472895800318,0.4232194548934175,-0.11901920755517947,0.1296392563850354,0.06379830308829301,0.09178120100068081,0.084267301563468,0.1076691665774148,-0.22436215550407312
