,Return
2014-01-31,-0.03958186945554766
2014-02-28,0.029411523593652678
2014-03-31,0.006128276514140503
2014-04-30,-0.0030652744458855947
2014-05-31,0.027967592838439324
2014-06-30,0.02992456394068918
2014-07-31,0.01857764549536113
2014-08-31,-0.007810388774493837
2014-09-30,-0.04330730117767265
2014-10-31,0.007975916613613873
2014-11-30,-0.015224719637565904
2014-12-31,-0.012788175028536937
2015-01-31,0.01218793653848971
2015-02-28,0.05283762103434355
2015-03-31,0.00010819644938173916
2015-04-30,0.039918566359655516
2015-05-31,-0.00200378149626913
2015-06-30,-0.02935117553817371
2015-07-31,-0.00033022981278953324
2015-08-31,-0.08067833760093034
2015-09-30,-0.05651045742068607
2015-10-31,0.08980455383669467
2015-11-30,-0.010342696364513283
2015-12-31,0.010619989309929082
2016-01-31,-0.08576581257879123
2016-02-29,-0.02610592717826516
2016-03-31,0.07830670423243248
2016-04-30,0.034448794623506356
2016-05-31,-0.016864484004386678
2016-06-30,-0.013898265233654958
2016-07-31,0.0748963102214722
2016-08-31,0.004844962267090403
2016-09-30,0.018597029703023488
2016-10-31,0.008434400445078889
2016-11-30,-0.01388019587020485
2016-12-31,0.004975955298188836
2017-01-31,0.03743190135849226
2017-02-28,0.021571610926720372
2017-03-31,0.006622573492632581
2017-04-30,0.005269865754383861
2017-05-31,0.016803726797797805
2017-06-30,0.011603984873737903
2017-07-31,0.030033621853757707
2017-08-31,8.984101775163349e-06
2017-09-30,0.009474937275833767
2017-10-31,0.032351479927944425
2017-11-30,0.02138548494717304
2017-12-31,0.013121358542344783
2018-01-31,0.04485526489363118
2018-02-28,-0.026708180101921993
2018-03-31,-0.028101452737038814
2018-04-30,0.013021720224681918
2018-05-31,-0.01068525915601841
2018-06-30,-0.015951707207496155
2018-07-31,0.014748887188919974
2018-08-31,-0.00983733368688505
2018-09-30,0.017704047480747626
2018-10-31,-0.07793465935020459
2018-11-30,0.009960005750884285
2018-12-31,-0.04613599547984254
2019-01-31,0.06825032153660415
2019-02-28,0.011957811789016561
2019-03-31,0.007706001062654364
2019-04-30,0.017543681577496712
2019-05-31,-0.041964905863292636
2019-06-30,0.04682976322950571
2019-07-31,-0.0018935491386220659
2019-08-31,-0.0320718384476899
2019-09-30,0.034875473928284925
2019-10-31,0.042850555717003455
2019-11-30,0.0009664277851816985
2019-12-31,0.027210128328957205
2020-01-31,-0.020093092611741612
2020-02-29,-0.08239530278970467
2020-03-31,-0.11901920755517947
2020-04-30,0.0632697017015827
2020-05-31,0.029456344697189076
2020-06-30,0.020834826345923776
2020-07-31,-0.010023586119739603
2020-08-31,0.06823253460754429
2020-09-30,-0.018612677932103965
2020-10-31,-0.011068571581094144
2020-11-30,0.1296392563850354
2020-12-31,0.044334781765018934
2021-01-31,-0.0014988560586480706
2021-02-28,0.03471230339559531
2021-03-31,0.018930145977427454
2021-04-30,-0.0028451269971972483
2021-05-31,0.02539247692820703
2021-06-30,-0.009639665750092374
2021-07-31,-0.019028424041994667
2021-08-31,0.0204851398262227
2021-09-30,0.013875569169809754
2021-10-31,-0.011442592611726442
2021-11-30,-0.042458746649106906
2021-12-31,0.029463066043676676
2022-01-31,-0.030811837459711743
2022-02-28,0.002005715382858662
2022-03-31,0.012085197714537034
2022-04-30,-0.06694157353305989
2022-05-31,0.007829729912865999
2022-06-30,-0.06508439350022366
2022-07-31,0.04128314741475091
2022-08-31,-0.02109372004058207
2022-09-30,-0.09631912559965013
2022-10-31,0.012841668373966806
2022-11-30,0.10588722126005476
2022-12-31,0.004673834481951441
2023-01-31,0.06940989180255967
2023-02-28,-0.04521566370108017
2023-03-31,0.028699493979886834
2023-04-30,0.005787614149129308
2023-05-31,-0.005513716760846539
2023-06-30,0.045918457399129475
2023-07-31,0.0373548119210092
2023-08-31,-0.031637009202069875
2023-09-30,-0.017969674761029366
2023-10-31,-0.05088747918769616
2023-11-30,0.07357614217658799
2023-12-31,0.052542540424859015
2024-01-31,0.013491035755764585
2024-02-29,0.023456646775030624
2024-03-31,0.021734341028073624
2024-04-30,-0.029763252409573802
2024-05-31,0.013728930010266564
2024-06-30,-0.006304128121099198
2024-07-31,0.04671685930577525
2024-08-31,0.015931533951032244
2024-09-30,0.025679719891221944
2024-10-31,-0.044407465523334334
2024-11-30,0.0023889170412379054
2024-12-31,-0.011879307369043279
2025-01-31,0.014165972115414326
2025-02-28,-0.009836759319689064
2025-03-31,0.0034499922449098787
2025-04-30,0.055954401701626286
2025-05-31,0.03465791900271611
2025-06-30,0.019861404496711282
2025-07-31,-0.0004850505333493313
2025-08-31,0.06004267422643874
2025-09-30,0.02013451209180398
2025-10-31,0.019523417560809445
2025-11-30,-0.0004770965493796135
2025-12-31,0.008423303239192484
