ReferenceWeight,CandidateWeight,DeltaWeight,AbsDeltaWeight,ChangeType,Year,ISIN
0.0228612319177877,0.0356353501971551,0.0127741182793673,0.0127741182793673,Overweighted,2014,JP3854600008
0.0059245098011277,0.0149209374388303,0.0089964276377025,0.0089964276377025,Overweighted,2014,JP3566800003
0.0111098154478821,0.0023537186080944,-0.0087560968397876,0.0087560968397876,Underweighted,2014,JP3551500006
0.042115743296134,0.0336322432691322,-0.0084835000270018,0.0084835000270018,Underweighted,2014,AU000000BHP4
0.0089006621667431,0.0006706426463682,-0.0082300195203749,0.0082300195203749,Underweighted,2014,JP3783600004
0.0035448727466533,0.0117201028074026,0.0081752300607492,0.0081752300607492,Overweighted,2014,JP3634600005
0.0071419170991586,5.20655523925389e-06,-0.0071367105439194,0.0071367105439194,Underweighted,2014,HK0002007356
0.0027624848672832,0.0096985850696364,0.0069361002023532,0.0069361002023532,Overweighted,2014,JP3539220008
0.0016860905368092,0.0085513654192239,0.0068652748824147,0.0068652748824147,Overweighted,2014,JP3351600006
0.007360535746064,0.0005214149878926,-0.0068391207581714,0.0068391207581714,Underweighted,2014,JP3910660004
0.0014948378756375,0.0081149407637335,0.006620102888096,0.006620102888096,Overweighted,2014,JP3246400000
0.0008649480324419,0.0074253058887386,0.0065603578562966,0.0065603578562966,Overweighted,2014,JP3270000007
0.0043725591465156,0.0108228472351716,0.006450288088656,0.006450288088656,Overweighted,2014,JP3890310000
0.0057744091982112,0.0118318638142488,0.0060574546160376,0.0060574546160376,Overweighted,2014,JP3902400005
0.0132691180779738,0.0192737104014447,0.0060045923234708,0.0060045923234708,Overweighted,2014,JP3463000004
0.0036307447492745,0.0096189024428634,0.0059881576935889,0.0059881576935889,Overweighted,2014,AU000000IAG3
0.0041496311050159,0.0096859175522058,0.0055362864471898,0.0055362864471898,Overweighted,2014,JP3877600001
0.0027246612843281,0.0081510744221926,0.0054264131378644,0.0054264131378644,Overweighted,2014,HK0010000088
0.0055865681410933,0.0003980900816798,-0.0051884780594134,0.0051884780594134,Underweighted,2014,SG1U68934629
0.0004429000245159,0.0055578438972011,0.0051149438726851,0.0051149438726851,Overweighted,2014,AU000000BWP3
0.0197905994821928,0.0033921328174036,-0.0163984666647892,0.0163984666647892,Underweighted,2015,JP3890350006
0.0259267512974705,0.0415412910899073,0.0156145397924367,0.0156145397924367,Overweighted,2015,JP3902900004
0.0045147327015762,0.0170871254526468,0.0125723927510706,0.0125723927510706,Overweighted,2015,JP3890310000
0.0209961170388783,0.0090946947563636,-0.0119014222825146,0.0119014222825146,Underweighted,2015,AU000000NAB4
0.0018898184452983,0.0130786511548024,0.011188832709504,0.011188832709504,Overweighted,2015,HK0010000088
0.0070074030568753,0.0177065023400866,0.0106990992832112,0.0106990992832112,Overweighted,2015,JP3566800003
0.0314853830137455,0.0215407279851399,-0.0099446550286055,0.0099446550286055,Underweighted,2015,AU000000BHP4
0.0091276231172733,0.0186275820572031,0.0094999589399298,0.0094999589399298,Overweighted,2015,AU000000CSL8
0.0093345341800574,0.0003707772152776,-0.0089637569647797,0.0089637569647797,Underweighted,2015,JP3898400001
0.0090875215413525,0.0002054183890564,-0.0088821031522961,0.0088821031522961,Underweighted,2015,JP3783600004
0.0017864423048278,0.0099342458470029,0.008147803542175,0.008147803542175,Overweighted,2015,AU000000SHL7
0.0020518492093781,0.0095722118973321,0.0075203626879539,0.0075203626879539,Overweighted,2015,JP3351600006
0.0172397935977719,0.0244642014173297,0.0072244078195578,0.0072244078195578,Overweighted,2015,AU000000TLS2
0.0016215870560357,0.0086496625204422,0.0070280754644065,0.0070280754644065,Overweighted,2015,JP3246400000
0.0015929757892743,0.0083443039604299,0.0067513281711556,0.0067513281711556,Overweighted,2015,JP3738600000
0.0012424099072737,0.007502589941855,0.0062601800345813,0.0062601800345813,Overweighted,2015,JP3977400005
0.0022184083094886,0.0084164152418451,0.0061980069323564,0.0061980069323564,Overweighted,2015,JP3224200000
0.0020267952666057,0.007906549431383,0.0058797541647772,0.0058797541647772,Overweighted,2015,JP3786200000
0.0083231396407775,0.002455151518315,-0.0058679881224625,0.0058679881224625,Underweighted,2015,AU0000224040
0.0058223744649677,7.275139531524445e-06,-0.0058150993254362,0.0058150993254362,Underweighted,2015,HK0002007356
0.0205313866526788,0.0080112831483094,-0.0125201035043694,0.0125201035043694,Underweighted,2016,AU000000BHP4
0.0029140998861212,0.0109256949379229,0.0080115950518016,0.0080115950518016,Overweighted,2016,JP3659000008
0.0062101018780045,1.1659534891151696e-09,-0.006210100712051,0.006210100712051,Underweighted,2016,HK0002007356
0.0021627189827991,0.0083445951500067,0.0061818761672075,0.0061818761672075,Overweighted,2016,SG1F60858221
0.0004843239683804,0.0061126531846316,0.0056283292162511,0.0056283292162511,Overweighted,2016,AU000000PPT9
0.0016427877913548,0.0070661856990105,0.0054233979076557,0.0054233979076557,Overweighted,2016,AU000000SHL7
0.0061656177068389,0.0007423775222629,-0.005423240184576,0.005423240184576,Underweighted,2016,AU0000224040
0.0078645479138949,0.0129649140799746,0.0051003661660797,0.0051003661660797,Overweighted,2016,JP3814800003
0.0062154683715209,0.0011742701273764,-0.0050411982441445,0.0050411982441445,Underweighted,2016,HK0006000050
0.0128264415150767,0.0178057004999668,0.00497925898489,0.00497925898489,Overweighted,2016,HK0016000132
0.0004006668803118,0.0052711767395897,0.0048705098592778,0.0048705098592778,Overweighted,2016,AU000000BWP3
0.001692599788559,0.0065302147567142,0.0048376149681552,0.0048376149681552,Overweighted,2016,JP3351600006
0.0116630613985052,0.016427924790436,0.0047648633919307,0.0047648633919307,Overweighted,2016,JP3242800005
0.0070605543831959,0.0116777893286119,0.0046172349454159,0.0046172349454159,Overweighted,2016,HK0066009694
0.0078972909816441,0.0034561673311448,-0.0044411236504992,0.0044411236504992,Underweighted,2016,JP3898400001
0.0013074247570034,0.0056004187627184,0.004292994005715,0.004292994005715,Overweighted,2016,JP3830000000
0.0073770753080421,0.0115176789024079,0.0041406035943657,0.0041406035943657,Overweighted,2016,JP3910660004
0.0042722563739062,0.0002344187932191,-0.0040378375806871,0.0040378375806871,Underweighted,2016,JP3160400002
0.0017593398551208,0.0057528458489949,0.003993505993874,0.003993505993874,Overweighted,2016,HK0010000088
0.0007620503652128,0.0047448784984929,0.0039828281332801,0.0039828281332801,Overweighted,2016,JP3270000007
0.0560362553403326,0.028376393658096,-0.0276598616822365,0.0276598616822365,Underweighted,2017,JP3633400001
0.0086967857679414,0.0298994850954574,0.021202699327516,0.021202699327516,Overweighted,2017,HK0011000095
0.0196908220899697,0.034693366374422,0.0150025442844523,0.0150025442844523,Overweighted,2017,AU000000WBC1
0.0259539022986142,0.0125124208168867,-0.0134414814817275,0.0134414814817275,Underweighted,2017,AU000000CBA7
0.0088778367121641,0.0217377528559761,0.0128599161438119,0.0128599161438119,Overweighted,2017,JP3942400007
0.013868648815518,0.0259226273216198,0.0120539785061018,0.0120539785061018,Overweighted,2017,AU000000ANZ3
0.0022804597062714,0.0143229899048885,0.012042530198617,0.012042530198617,Overweighted,2017,JP3351600006
0.0044110648961873,0.0152705082111852,0.0108594433149978,0.0108594433149978,Overweighted,2017,JP3634600005
0.0108020374686373,2.4952621742966668e-08,-0.0108020125160155,0.0108020125160155,Underweighted,2017,SG1T75931496
0.0003929611173936,0.0110043097748636,0.0106113486574699,0.0106113486574699,Overweighted,2017,AU000000BWP3
0.0133616260178529,0.002759484193743,-0.0106021418241098,0.0106021418241098,Underweighted,2017,AU000000TLS2
0.0034388817174847,0.0140351091541884,0.0105962274367037,0.0105962274367037,Overweighted,2017,JP3659000008
0.0132980529659016,0.0029777616937916,-0.01032029127211,0.01032029127211,Underweighted,2017,KYG217651051
0.0085469008484046,0.018525264838016,0.0099783639896113,0.0099783639896113,Overweighted,2017,HK0016000132
0.008631377469414,0.0180096086581979,0.0093782311887838,0.0093782311887838,Overweighted,2017,JP3814800003
0.0143430130686913,0.0050777529021636,-0.0092652601665277,0.0092652601665277,Underweighted,2017,AU000000NAB4
0.0093352498098391,0.0001920501551147,-0.0091431996547243,0.0091431996547243,Underweighted,2017,AU000000BHP4
0.0073595073694049,0.0160480695020446,0.0086885621326396,0.0086885621326396,Overweighted,2017,HK0066009694
0.0014925667925553,0.0100893548363189,0.0085967880437635,0.0085967880437635,Overweighted,2017,JP3738600000
0.0080638412853996,2.0499989291031344e-08,-0.0080638207854103,0.0080638207854103,Underweighted,2017,JP3914400001
0.0436036526313941,0.0188707740507216,-0.0247328785806724,0.0247328785806724,Underweighted,2018,JP3633400001
0.0091533683197326,0.0317429099756027,0.0225895416558701,0.0225895416558701,Overweighted,2018,HK0011000095
0.0212513666397938,0.0064254080502399,-0.0148259585895539,0.0148259585895539,Underweighted,2018,JP3902900004
0.0049828720476085,0.0197905870888038,0.0148077150411952,0.0148077150411952,Overweighted,2018,JP3890310000
0.0007042350188083,0.0150044959420622,0.0143002609232539,0.0143002609232539,Overweighted,2018,JP3769000005
0.0003364784083149,0.0133777705958735,0.0130412921875586,0.0130412921875586,Overweighted,2018,AU000000BWP3
0.015578208244999,0.0033258894036984,-0.0122523188413006,0.0122523188413006,Underweighted,2018,AU000000BHP4
0.0089781127234677,0.0207553604607733,0.0117772477373055,0.0117772477373055,Overweighted,2018,JP3242800005
0.0009931687841018,0.0118209926231959,0.010827823839094,0.010827823839094,Overweighted,2018,JP3711200000
0.0035250816566802,0.0131283502180083,0.0096032685613281,0.0096032685613281,Overweighted,2018,HK0823032773
0.0106867385481201,0.0014132943690059,-0.0092734441791142,0.0092734441791142,Underweighted,2018,KYG217651051
0.0012464084361005,0.0103466393952617,0.0091002309591612,0.0091002309591612,Overweighted,2018,HK0010000088
0.0211653802054494,0.0301534403159852,0.0089880601105357,0.0089880601105357,Overweighted,2018,JP3735400008
0.008733249283825,1.540049303566138e-07,-0.0087330952788947,0.0087330952788947,Underweighted,2018,JP3371200001
0.0025882005523183,0.0112645458042252,0.0086763452519069,0.0086763452519069,Overweighted,2018,JP3502200003
0.0026044483014741,0.0111312410636986,0.0085267927622244,0.0085267927622244,Overweighted,2018,JP3351600006
0.0154788876282514,0.0239432318031867,0.0084643441749353,0.0084643441749353,Overweighted,2018,AU000000ANZ3
0.0065575695965407,0.0149257032990815,0.0083681337025408,0.0083681337025408,Overweighted,2018,JP3942400007
0.0011563378680885,0.0091277035008531,0.0079713656327646,0.0079713656327646,Overweighted,2018,JP3738600000
0.0003872356850852,0.0082560291262387,0.0078687934411535,0.0078687934411535,Overweighted,2018,AU000000PPT9
0.000274661267394,0.0218991538307894,0.0216244925633953,0.0216244925633953,Overweighted,2019,AU000000BWP3
0.0411462663835732,0.0206912191576879,-0.0204550472258852,0.0204550472258852,Underweighted,2019,JP3633400001
0.0005839880769663,0.0177713333529175,0.0171873452759511,0.0171873452759511,Overweighted,2019,JP3769000005
0.0036837924672627,0.0206921519551428,0.0170083594878801,0.0170083594878801,Overweighted,2019,JP3890310000
0.0008899691652448,0.0151602123554031,0.0142702431901583,0.0142702431901583,Overweighted,2019,JP3711200000
0.0205236400626305,0.0078513528929134,-0.012672287169717,0.012672287169717,Underweighted,2019,AU000000CBA7
0.0035482715895192,0.0158198080035528,0.0122715364140336,0.0122715364140336,Overweighted,2019,JP3837800006
0.0143418733036675,0.0034746913550167,-0.0108671819486508,0.0108671819486508,Underweighted,2019,AU000000BHP4
0.0156405716985289,0.0259027101246384,0.0102621384261094,0.0102621384261094,Overweighted,2019,AU000000WBC1
0.011650266989198,0.0018797730500707,-0.0097704939391273,0.0097704939391273,Underweighted,2019,AU000000NAB4
0.0010192147621327,0.010550944941551,0.0095317301794182,0.0095317301794182,Overweighted,2019,JP3738600000
0.0015181433966472,0.0110047931340924,0.0094866497374451,0.0094866497374451,Overweighted,2019,AU000000TAH8
0.018230280447832,0.0276730812207952,0.0094428007729632,0.0094428007729632,Overweighted,2019,JP3735400008
0.0094707403850326,0.0002786330229715,-0.009192107362061,0.009192107362061,Underweighted,2019,KYG217651051
0.0082138808464163,0.017361770965415,0.0091478901189986,0.0091478901189986,Overweighted,2019,HK0011000095
0.0065490221864854,0.0156233024738157,0.0090742802873303,0.0090742802873303,Overweighted,2019,JP3198900007
0.0086848627604016,7.724873645069268e-05,-0.0086076140239509,0.0086076140239509,Underweighted,2019,JP3371200001
0.0021321407500959,0.0106574998984027,0.0085253591483067,0.0085253591483067,Overweighted,2019,JP3942800008
0.0046074725580809,0.0129944723514382,0.0083869997933573,0.0083869997933573,Overweighted,2019,JP3475350009
0.0096796882547066,0.0176312731450716,0.0079515848903649,0.0079515848903649,Overweighted,2019,JP3242800005
0.0394177838349756,0.0146575139708038,-0.0247602698641717,0.0247602698641717,Underweighted,2020,JP3633400001
0.0003387751710101,0.0141576445015536,0.0138188693305434,0.0138188693305434,Overweighted,2020,AU000000BWP3
0.0177940649001891,0.0050919487865025,-0.0127021161136866,0.0127021161136866,Underweighted,2020,AU000000CBA7
0.0046147668931139,0.0168203658227171,0.0122055989296031,0.0122055989296031,Overweighted,2020,JP3837800006
0.0006634858337076,0.0127351303325618,0.0120716444988541,0.0120716444988541,Overweighted,2020,JP3711200000
0.0004286260163237,0.0122704049438698,0.011841778927546,0.011841778927546,Overweighted,2020,JP3769000005
0.0016950611333489,0.0128311587933252,0.0111360976599763,0.0111360976599763,Overweighted,2020,JP3502200003
0.0045443808190451,0.0156111831139685,0.0110668022949233,0.0110668022949233,Overweighted,2020,HK0823032773
0.0148564568717262,0.00390961632066,-0.0109468405510662,0.0109468405510662,Underweighted,2020,AU000000BHP4
0.001353417072656,0.0115172245561461,0.01016380748349,0.01016380748349,Overweighted,2020,AU000000TAH8
0.006733931322581,0.0166102062869767,0.0098762749643956,0.0098762749643956,Overweighted,2020,HK0066009694
0.0009504303929148,0.0104017678875082,0.0094513374945933,0.0094513374945933,Overweighted,2020,JP3134800006
0.0007570592867409,0.0095280911479958,0.0087710318612549,0.0087710318612549,Overweighted,2020,AU000000BEN6
0.0141887917904186,0.0055816385146953,-0.0086071532757232,0.0086071532757232,Underweighted,2020,JP3902900004
0.0002072231776727,0.0085916805909384,0.0083844574132656,0.0083844574132656,Overweighted,2020,AU000000MND5
0.0080945057290128,0.0164773740584823,0.0083828683294694,0.0083828683294694,Overweighted,2020,HK0688002218
0.0124995994722267,0.0044512470311373,-0.0080483524410893,0.0080483524410893,Underweighted,2020,JP3463000004
0.0080787397407983,7.411210409592907e-05,-0.0080046276367024,0.0080046276367024,Underweighted,2020,HK2388011192
0.0077274605786315,3.5316904251767355e-05,-0.0076921436743797,0.0076921436743797,Underweighted,2020,KYG217651051
0.0015991905831787,0.0092666581336755,0.0076674675504968,0.0076674675504968,Overweighted,2020,JP3027680002
0.0416264139195927,0.0167153491193439,-0.0249110648002488,0.0249110648002488,Underweighted,2021,JP3633400001
0.0018160848052581,0.0126364733676339,0.0108203885623758,0.0108203885623758,Overweighted,2021,JP3027680002
0.0183352186863084,0.0077859405649724,-0.0105492781213359,0.0105492781213359,Underweighted,2021,AU000000CBA7
