,P(mv)_oos,P(mv)_oos(0.5),P(vw),P(vw)_oos(0.5),P(vw)_oos(NZ)
P(mv)_oos,1.0,0.9806661306940168,0.6275398345425508,0.6324894198575647,0.6324894198575647
P(mv)_oos(0.5),0.9806661306940168,1.0,0.5983213559761807,0.6037143071713558,0.6037143071713558
P(vw),0.6275398345425508,0.5983213559761807,1.0,0.9911589534818547,0.9911589534818547
P(vw)_oos(0.5),0.6324894198575647,0.6037143071713558,0.9911589534818547,1.0,1.0
P(vw)_oos(NZ),0.6324894198575647,0.6037143071713558,0.9911589534818547,1.0,1.0
