,Return
2014-01-31,-0.03952254926085186
2014-02-28,0.029464142178202264
2014-03-31,0.006137982627127151
2014-04-30,-0.003006600761694481
2014-05-30,0.027869975378984398
2014-06-30,0.029936338518979304
2014-07-31,0.018582129234446555
2014-08-29,-0.007933620094325432
2014-09-30,-0.0432587545466261
2014-10-31,0.007836011159018892
2014-11-28,-0.015333952764469423
2014-12-31,-0.01287518568746432
2015-01-30,0.012149077243646103
2015-02-27,0.05294556854818419
2015-03-31,0.00021741657965823516
2015-04-30,0.03979217533953712
2015-05-29,-0.002053073421421706
2015-06-30,-0.029335821726513167
2015-07-31,-0.00023706135233349926
2015-08-31,-0.08056283741246766
2015-09-30,-0.05650274819162924
2015-10-30,0.08981007366491625
2015-11-30,-0.010194073324749952
2015-12-31,0.010527404682947343
2016-01-29,-0.08565637951475202
2016-02-29,-0.02572833782862457
2016-03-31,0.07829642305871576
2016-04-29,0.034482782027854694
2016-05-31,-0.016684863585478427
2016-06-30,-0.013807372241915798
2016-07-29,0.074859030501077
2016-08-31,0.004763567177413797
2016-09-30,0.018615009790105122
2016-10-31,0.008378940287511301
2016-11-30,-0.013826568240443642
2016-12-30,0.005088337812227791
2017-01-31,0.03736975746811789
2017-02-28,0.021546934402830478
2017-03-31,0.006780455217311798
2017-04-28,0.0053505230187193996
2017-05-31,0.016843300913092923
2017-06-30,0.011516628526754483
2017-07-31,0.029929187076992547
2017-08-31,0.00011245985336826996
2017-09-29,0.00965532463736459
2017-10-31,0.03239257727379702
2017-11-30,0.021519851779442645
2017-12-29,0.013084637225086392
2018-01-31,0.04490296427753141
2018-02-28,-0.026713586712623756
2018-03-30,-0.028161138308890735
2018-04-30,0.012968558868807484
2018-05-31,-0.010739933579979889
2018-06-29,-0.015957159690864017
2018-07-31,0.014642876071596006
2018-08-31,-0.009896043221092592
2018-09-28,0.01765197027365014
2018-10-31,-0.07794095745146346
2018-11-30,0.009779738938514155
2018-12-31,-0.046156871428518466
2019-01-31,0.06819372265334615
2019-02-28,0.011989732125261313
2019-03-29,0.007785309043331059
2019-04-30,0.017575862931696322
2019-05-31,-0.041823930138885634
2019-06-28,0.046898768991618496
2019-07-31,-0.001941097387373975
2019-08-30,-0.03192212525866333
2019-09-30,0.034869528012619264
2019-10-31,0.04288689403740284
2019-11-29,0.0010282343644515504
2019-12-31,0.027181868090730893
2020-01-31,-0.019896112030020046
2020-02-28,-0.08240795889821304
2020-03-31,-0.11885772664204623
2020-04-30,0.06296610234374922
2020-05-29,0.02966831013566613
2020-06-30,0.02094290040155038
2020-07-31,-0.009895355103655334
2020-08-31,0.06824993563343833
2020-09-30,-0.01843823841328807
2020-10-30,-0.011136330742421745
2020-11-30,0.12942108678374367
2020-12-31,0.0442096686099866
2021-01-29,-0.0014518033800306966
2021-02-26,0.03463298438303535
2021-03-31,0.018797798760544833
2021-04-30,-0.002906207234408086
2021-05-31,0.025521216718872506
2021-06-30,-0.009701324053335745
2021-07-30,-0.01914510302317135
2021-08-31,0.02013759628745223
2021-09-30,0.014011593499362405
2021-10-29,-0.011429507049776274
2021-11-30,-0.042291581414921155
2021-12-31,0.029303151967358217
2022-01-31,-0.03077134418448369
2022-02-28,0.001964139773955491
2022-03-31,0.012122322352750698
2022-04-29,-0.06656876732053706
2022-05-31,0.006101015079279275
2022-06-30,-0.06507712237259013
2022-07-29,0.04131185868046271
2022-08-31,-0.02111596754092992
2022-09-30,-0.09632558304897595
2022-10-31,0.012883244579122667
2022-11-30,0.10597862682866724
2022-12-30,0.004661468831506851
2023-01-31,0.06940530627931664
2023-02-28,-0.04521297791134327
2023-03-31,0.028688698966390754
2023-04-28,0.006765684347657383
2023-05-31,-0.006508403818058006
2023-06-30,0.045879038502914284
2023-07-31,0.037375110942529294
2023-08-31,-0.031647999368233995
2023-09-29,-0.017956620791391858
2023-10-31,-0.048676548539893894
2023-11-30,0.0722103149145622
2023-12-29,0.051382342785522075
2024-01-31,0.013504654811115515
2024-02-29,0.02354051742537443
2024-03-29,0.021731234571676764
2024-04-30,-0.02972356222600775
2024-05-31,0.013731904762373246
2024-06-28,-0.005847662726962437
2024-07-31,0.04631754883950744
2024-08-30,0.015878721915831024
2024-09-30,0.025764379717332243
2024-10-31,-0.044253177548979276
2024-11-29,0.0023805641986474942
2024-12-31,-0.011801639904843786
2025-01-31,0.014220796592725264
2025-02-28,-0.009918630257204925
2025-03-31,0.003540396310601005
2025-04-30,0.05602954015174246
2025-05-30,0.034691630274393766
2025-06-30,0.019903482159518104
2025-07-31,-0.00046493319530771743
2025-08-29,0.060032300293769894
2025-09-30,0.01630659585781032
2025-10-31,0.019727665334917488
2025-11-28,-0.0004659374579749046
2025-12-31,0.008497468526366111
