Year,CF_MV,CF_VW,CF_MV_05,CF_TE_05,CF_NZ,WACI_MV,WACI_VW,WACI_MV_05,WACI_TE_05,WACI_NZ,LW_delta,LW_r_bar
2013,717.6017072623963,227.9315814378534,358.80085328931204,113.96579923315306,205.13842329406802,2185.452931601512,191.51430209786733,2203.1821197536233,143.905689187549,181.65617799066186,0.43661650209277675,0.28595710597277935
2014,764.9044964294792,209.14639269454025,382.45224675890205,104.57320049005646,184.62458111139708,1615.8145258957777,175.88117799161716,1780.4013669264375,122.65947263054964,162.4001966232236,0.4328147136864234,0.2781668504591744
2015,552.1921446273429,217.53628441626822,276.0937191131963,108.76814220813426,166.16212498900603,3079.121331074975,346.23793653759697,5961.365169891741,288.1553239028203,317.5883920997683,0.3934495080427894,0.27942763580292174
2016,540.3484586482746,265.1164462957488,270.17422650283703,132.5582247958745,149.5459105798193,3912.024401326283,443.4581448433129,7087.497078372456,387.34187959782344,393.743151483492,0.3701389617741221,0.2788868431137504
2017,552.4816062114993,232.77169483685014,276.24079613126383,116.38584750178849,134.591319567982,1317.2365890366466,517.2876877265008,5103.372487882727,462.08092446528764,472.669248021087,0.3939131346695686,0.28194520071804247
2018,874.8389468542858,181.35263520407918,437.41939287344206,90.67632211390983,121.13220057354303,1472.5653121066994,395.5407728609611,3652.8312332365113,346.9651658530736,364.81985353657853,0.37478595988474367,0.25509046721737644
2019,690.6653732879709,194.7648324807963,345.33268664398383,97.3824166191941,109.01897023324604,1174.929466634237,300.3719071546231,826.5442431218999,246.12439322566163,256.2992297669541,0.3640814202934877,0.22861387813336886
2020,639.7319251400911,155.03978574312208,319.8659625700428,77.51989395293779,98.11707193244054,1058.5006811884537,242.4382859540131,847.9492653121372,209.89477184506072,219.44830190306558,0.3898524822457598,0.25090332737826954
2021,851.2241739996621,151.6312846229167,425.61208699980693,75.8156484162252,88.30536817380667,1227.7854248562555,201.5374206827714,1507.1707936833338,165.2121154152777,171.738027698715,0.45282881042939166,0.24441628662295786
2022,521.9350892540201,152.74991071331567,260.9675446270026,76.37495535665822,79.47483070937115,714.4189476229471,228.03880511298604,815.9334317968191,180.9116851441585,184.2000890661793,0.48104843657026264,0.2535511873046873
2023,447.8371933998873,155.02705289637964,223.91859669993812,77.51351845536178,71.52732334019865,352.18745008845326,205.50853841997335,389.1155118240053,166.33325872596637,160.61047359518506,0.4869939177870289,0.26087068351886084
2024,436.0481100627076,147.75891742561842,218.02405503135182,73.87945871280908,64.37461089487434,392.76670041872774,204.75028905283327,340.35561521964854,162.43259207265316,150.07216723779206,0.46928241499818346,0.2561413798434343
