,Annualized Average Return,Annualized Volatility,Annualized Cumulative Return,Sharpe Ratio,Minimum Monthly Return,Maximum Monthly Return,VaR_95 (monthly),VaR_99 (monthly),ES_95 (monthly),ES_99 (monthly),Max_Drawdown
P_mv_oos,0.0834557648092954,0.11859819642264417,0.07914430326413013,0.5562495425598845,-0.1496225783309613,0.1003419813573473,0.045605817353495295,0.0723024074927809,0.06941844926843263,0.1153172450259781,-0.21124462175040282
P_mv_oos(0.5),0.07650761952591784,0.11199169852981555,0.07262333029298151,0.5704402023662415,-0.10081827735959009,0.10321441004333406,0.042924243025072306,0.06258865641753558,0.05975312966697584,0.0821954292823355,-0.17647608231729028
