,P_vw_oos,P_vw_oos(0.5),P_vw_oos(NZ)
Annualized Return,0.07592064351458028,0.07582626509406443,0.07557589455033287
Annualized Volatility,0.12914071417053138,0.13190951917666144,0.13205730922434814
Sharpe Ratio,0.5878908445118743,0.5748354293711978,0.5722961871193308
Min Monthly Return,-0.1075897946467893,-0.11877606849422702,-0.11885772664204595
Max Monthly Return,0.130681155663674,0.1293498662520998,0.1294210867837436
Cumulative Return,1.1795849585808051,1.167974227539652,1.1614043226961388
