,P_vw_oos,P_vw_oos(0.5)
Annualized Return (arith. compounding),0.07592064351458028,0.07582626509406443
Annualized Return (geometric avg),0.06708205588785221,0.06660719651919234
Annualized Volatility,0.1291407141705314,0.1319095191766637
Sharpe Ratio,0.47150053447850143,0.46096613869503505
Min Monthly Return,-0.1075897946467893,-0.11877606849422703
Max Monthly Return,0.130681155663674,0.12934986625209968
Cumulative Return,1.1795849585808056,1.1679742275396268
