Year,NZ_target
2013,205.13842329406805
2014,184.62458096466125
2015,166.16212286819515
2016,149.5459105813756
2017,134.59131952323807
2018,121.13218757091425
2019,109.01896881382284
2020,98.11707193244057
2021,88.3053647391965
2022,79.47482826527686
2023,71.52734543874917
2024,64.37461089487427
