,Annualized Average Return,Annualized Volatility,Annualized Cumulative Return,Sharpe Ratio,Minimum Monthly Return,Maximum Monthly Return,VaR_95 (monthly),VaR_99 (monthly),ES_95 (monthly),ES_99 (monthly),Max_Drawdown
P_vw_oos,0.073685130281278,0.1319812486575312,0.06699265210726124,0.4268741817023672,-0.114422511974802,0.1329161675884338,0.06625768806162464,0.09360924695639104,0.08520065479793199,0.10753444727337294,-0.22852219303544963
P_vw_oos(0.5),0.0737462854970088,0.13213398531409445,0.06703660538041611,0.46348866978723685,-0.11877606849422684,0.1293498662520997,0.06361581176622137,0.09150969423313043,0.08408330404838985,0.10750173539028293,-0.2243037770475791
P_vw_oos(NZ),0.07350677948011025,0.1322780199362918,0.06676161752429399,0.46118198160227836,-0.11885772664204564,0.1294210867837435,0.06376480293179149,0.09171240696581892,0.08421374888993632,0.10756935786003646,-0.22427574875377465
