Year,ISIN,Weight
2013,JP3566800003,7.769571951904487e-09
2013,JP3300600008,1.0932569253211537e-08
2013,JP3164800009,1.2643758565709573e-08
2013,JP3659000008,0.03175061023657674
2013,JP3134800006,3.419030181137262e-08
2013,BMG684371393,1.8183702682911373e-09
2013,JP3223800008,6.304029980147262e-11
2013,JP3118000003,8.346689501078406e-08
2013,JP3903000002,2.9839633378974474e-10
2013,JP3351600006,6.226817741638737e-09
2013,HK0293001514,2.6669771565140543e-10
2013,JP3635400009,7.703505015161408e-09
2013,AU000000BEN6,1.5585886327610127e-07
2013,JP3820000002,1.3354114669348482e-08
2013,AU000000DOW2,1.9077509751840416e-08
2013,JP3496400007,2.0864430112491367e-08
2013,AU000000NAB4,1.5928260718816214e-07
2013,AU000000MAH3,1.128529393593277e-08
2013,JP3320800000,1.2244046344973056e-08
2013,AU000000APA1,1.1516687022896456e-08
2013,AU000000STO6,5.128383487864884e-09
2013,JP3888400003,2.376085683906363e-09
2013,JP3786200000,6.412858988494558e-09
2013,JP3420600003,1.5869953646178272e-08
2013,JP3910660004,5.314210077564563e-08
2013,HK0066009694,0.004017418375612335
2013,JP3165700000,7.023568150213975e-08
2013,JP3888300005,4.856130074244712e-10
2013,JP3119600009,0.0029408359202179888
2013,AU000000IVC8,3.609969082064469e-08
2013,AU000000ERA9,1.4310845550875749e-08
2013,JP3350800003,2.7098048567424616e-11
2013,JP3982100004,0.11026009185624984
2013,JP3688370000,2.30567135856066e-09
2013,JP3371200001,0.03563495315503005
2013,HK0388045442,1.4569887164910585e-07
2013,JP3762600009,1.6210452167557558e-07
2013,JP3502200003,1.313978356496369e-07
2013,JP3111200006,1.2965027041077535e-09
2013,JP3174410005,3.873329556379449e-10
2013,JP3900000005,3.458245201060511e-08
2013,JP3493800001,5.016237544948928e-09
2013,JP3419400001,1.1905497033786077e-08
2013,JP3126400005,4.3259424636731375e-08
2013,AU0000224040,5.117907477252992e-09
2013,AU000000AMP6,1.4025442682186454e-07
2013,JP3304200003,6.516615975991218e-08
2013,JP3665200006,4.620511838219576e-09
2013,JP3375800004,1.6600554584254483e-08
2013,JP3672400003,2.1038935445336118e-08
2013,JP3955000009,3.7421398339262625e-08
2013,JP3027680002,1.71133468328309e-08
2013,JP3551500006,7.009405819278215e-09
2013,JP3449020001,1.6787586425122539e-10
2013,JP3667600005,3.460475192815159e-08
2013,JP3362700001,1.0656220745450768e-10
2013,HK0011000095,0.007280533363823769
2013,JP3621000003,1.98612474593009e-09
2013,JP3539220008,7.061355357002345e-08
2013,AU000000TAH8,1.2850746312073164e-07
2013,JP3197600004,0.028345336361998066
2013,AU000000CBA7,1.1266260082418832e-07
2013,JP3870400003,4.2090222907990315e-08
2013,AU000000GPT8,1.5359384648049425e-07
2013,JP3385820000,4.9492981152083974e-08
2013,JP3902400005,2.0025117758300492e-08
2013,JP3535800001,1.1516170214247589e-08
2013,JP3870000001,1.7326187444155773e-09
