,P_mv_oos,P_mv_oos(0.5),P_vw_oos,P_vw_oos(0.5),P_vw_oos(NZ)
Annualized Return (arith. compounding),0.08659958990703953,0.07884500839086783,0.07592064351458028,0.07582626509405888,0.07557589455034419
Annualized Return (geometric avg),0.07945837337517347,0.0725636633612965,0.06708205588785221,0.06660719651918812,0.06633746469395096
Annualized Volatility,0.11549790052180699,0.10919561417139137,0.1291407141705314,0.13190951917666255,0.13205730922434708
Sharpe Ratio,0.6149194364167639,0.5840645142096622,0.47150053447850143,0.4609661386950071,0.4586864630198897
Min Monthly Return,-0.1242717964152482,-0.07588420977218163,-0.1075897946467893,-0.1187760684942272,-0.11885772664204601
Max Monthly Return,0.098329762368104,0.10317158587643775,0.130681155663674,0.12934986625209965,0.12942108678374373
Cumulative Return,1.5030573143992072,1.3178053265673193,1.1795849585808056,1.167974227539521,1.1614043226963964
