,Active Return (ann.),Tracking Error (ann.),Information Ratio,Avg Active Share
P_vw_oos(0.5),0.0003940439969376581,0.00996535943472303,0.03954137324587228,0.03208755084155787
P_vw_oos(NZ),6.5798343305898e-05,0.009992516854178811,0.006584761803867413,0.021518545862667424
