,Annualized Average Return,Annualized Volatility,Annualized Cumulative Return,Sharpe Ratio,Minimum Monthly Return,Maximum Monthly Return
Minimum Variance,0.08297304640916292,0.1094799354129191,0.07985198788651937,0.5974274559380806,-0.08161278032634771,0.10330842240125937
Value Weighted,0.07368513028127816,0.13198124865753127,0.06699265210726146,0.4268741817023679,-0.11442251197480205,0.1329161675884338
