Date,MV_Return,VW_Return,MV_CumReturn,VW_CumReturn
2014-01-31,-0.026834353963050554,-0.04048947345151503,0.9731656460369494,0.959510526548485
2014-02-28,0.037913280398080174,0.02331943699437828,1.0100615480489272,0.9818857718177751
2014-03-31,0.00520361391115977,0.003371766637113682,1.0153175183714822,0.9851964615046468
2014-04-30,-0.012485988369375435,-0.008777486381004075,1.0026402756458728,0.9765489129811764
2014-05-31,0.050178551864109584,0.030593973051351257,1.0529513127184142,1.006425424108249
2014-06-30,0.04495775350079282,0.033666519660282786,1.1002896382839449,1.040308265435598
2014-07-31,0.014792895034008319,0.01685100140992564,1.1165661074100863,1.0578385014832106
2014-08-31,0.013162591255487625,-0.0096844626509714,1.1312630106916561,1.0475939040248368
2014-09-30,-0.02459569281239882,-0.03605195727030298,1.1034388131906547,1.0098260933603034
2014-10-31,0.017168611969036643,0.005930134348938087,1.1223833260058993,1.0158144977629935
2014-11-30,-0.0020982412881906734,-0.009762737347359845,1.1200282949700968,1.005897367627693
2014-12-31,-0.011047948345771412,-0.012194721944131947,1.1076542802214648,0.993630728925139
2015-01-31,0.06769796225234752,0.015868065285117142,1.1826402178725486,1.0093977262010216
2015-02-28,0.010052192450282762,0.04942362362528414,1.1945283449420478,1.0592858195089985
2015-03-31,0.009904205448856037,0.0012029148529209552,1.206359199084836,1.0605600501547743
2015-04-30,0.04844092319580841,0.03855697876271107,1.2647963523942616,1.1014520414851718
2015-05-31,0.01417570670206102,-0.0015612515201332724,1.2827257345236391,1.0997323978110491
2015-06-30,0.004639316465013753,-0.028503569545296353,1.2886767051439116,1.0683860989288265
2015-07-31,0.02513607953542246,-0.0007705367469683509,1.3210689852998552,1.0675628681796516
2015-08-31,-0.05599795557293978,-0.08019499151490729,1.2470918229522452,0.9819496730243544
2015-09-30,0.035697594403253166,-0.054615610321664274,1.291610001031608,0.9283198923269707
2015-10-31,0.09957812539169746,0.08948339042686859,1.420226103671504,1.0113891036930935
2015-11-30,-0.04619220838289497,-0.008179248090611171,1.354622723539883,1.0031167012978468
2015-12-31,0.07421998958734838,0.011332234914748544,1.4551628079757983,1.0144842554038616
2016-01-31,-0.04433351266147144,-0.08428095090786757,1.390650329203901,0.9289825576773642
2016-02-29,0.014791672149933202,-0.026723141946394136,1.4112203729486819,0.9041572249228277
2016-03-31,0.04869786627316838,0.07415778085701943,1.4799437939525075,0.9712075182689457
2016-04-30,0.026826635807137136,0.03442984583439446,1.5196457071279044,1.0046460433961502
2016-05-31,-0.002193794381034996,-0.014927157750552233,1.5163119169144432,0.9896495334229077
2016-06-30,0.008193547018057554,-0.016354364216760016,1.5287358898997228,0.9734644445063628
2016-07-31,0.05419131802009266,0.07153602239309542,1.6115801026780079,1.0431022188074521
2016-08-31,-0.02804826564451434,1.2053084351167694e-05,1.5663780758506813,1.0431147914064824
